name,state,staff_tests,total_staff_cases,staff_recovered,total_staff_deaths,prisoner_tests,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,as_of_date_month_year,as_of_date,year,month,region,civ_death,civ_cases,civ_hosp,civ_tests,Design capacity 2000/a,Design capacity 2005/a,Percent of design capacity occupied 2000,Percent of design capacity occupied 2005,Rated capacity 2000,Rated capacity 2005,Percent of rated capacity occupied 2000,Percent of rated capacity occupied 2005,Total_18,Male_18,Female_18,Total_19,Male_19,Female_19,Total number of facilities,Facilities operating one or more work programs,Inmates participating in one or more work programs,Prison industries,Support services,Farming ,Public works,Other work programs ,No work programs,phone_rate_avg,Latitude,Longitude
Alabama,AL,0,11,0,0,61,4,0,1,"Apr,2020",4/28/20,2020,4,South,256,6038,978,0,17693,12918,127,179,22158,22158,101,0,26841,24439,2402,28304,25555,2749,33,24,28,7,10,6,9,5,7,4.5,32.75,-86.75
Alabama,AL,0,42,0,0,74,7,0,0,"May,2020",5/26/20,2020,5,South,362,10884,866,0,17693,12918,127,179,22158,22158,101,0,26841,24439,2402,28304,25555,2749,33,24,28,7,10,6,9,5,7,4.5,32.75,-86.75
Alabama,AL,0,111,74,1,177,57,10,6,"Jun,2020",6/30/20,2020,6,South,319,20142,925,0,17693,12918,127,179,22158,22158,101,0,26841,24439,2402,28304,25555,2749,33,24,28,7,10,6,9,5,7,4.5,32.75,-86.75
Alabama,AL,0,125,82,1,407,131,96,8,"Jul,2020",7/28/20,2020,7,South,630,49678,7752,0,17693,12918,127,179,22158,22158,101,0,26841,24439,2402,28304,25555,2749,33,24,28,7,10,6,9,5,7,4.5,32.75,-86.75
Alabama,AL,0,62,110,0,990,137,190,4,"Aug,2020",8/25/20,2020,8,South,602,38335,3746,0,17693,12918,127,179,22158,22158,101,0,26841,24439,2402,28304,25555,2749,33,24,28,7,10,6,9,5,7,4.5,32.75,-86.75
Alabama,AL,0,45,87,0,353,79,73,4,"Sep,2020",9/28/20,2020,9,South,358,28643,2990,0,17693,12918,127,179,22158,22158,101,0,26841,24439,2402,28304,25555,2749,33,24,28,7,10,6,9,5,7,4.5,32.75,-86.75
Alabama,AL,0,57,25,0,3260,117,39,4,"Oct,2020",10/26/20,2020,10,South,427,37584,3193,0,17693,12918,127,179,22158,22158,101,0,26841,24439,2402,28304,25555,2749,33,24,28,7,10,6,9,5,7,4.5,32.75,-86.75
Alabama,AL,0,212,51,0,1693,323,319,7,"Nov,2020",11/30/20,2020,11,South,611,57239,4888,0,17693,12918,127,179,22158,22158,101,0,26841,24439,2402,28304,25555,2749,33,24,28,7,10,6,9,5,7,4.5,32.75,-86.75
Alabama,AL,0,137,90,0,5639,306,268,20,"Dec,2020",12/28/20,2020,12,South,1249,111702,8846,0,17693,12918,127,179,22158,22158,101,0,26841,24439,2402,28304,25555,2749,33,24,28,7,10,6,9,5,7,4.5,32.75,-86.75
Alabama,AL,0,147,271,1,2023,208,195,6,"Jan,2021",1/25/21,2021,1,South,2861,98413,7675,0,17693,12918,127,179,22158,22158,101,0,26841,24439,2402,28304,25555,2749,33,24,28,7,10,6,9,5,7,4.5,32.75,-86.75
Alaska,AK,,8,0,0,207,1,0,0,"Apr,2020",4/29/20,2020,4,West,6,227,26,15406,3490,3101,93,134,3622,4129,90,100,4380,4001,379,4475,4049,426,21,18,1334,3,17,4,9,3,1,3.75,64,-150
Alaska,AK,,3,0,0,289,1,0,0,"May,2020",5/27/20,2020,5,West,1,108,12,32576,3490,3101,93,134,3622,4129,90,100,4380,4001,379,4475,4049,426,21,18,1334,3,17,4,9,3,1,3.75,64,-150
Alaska,AK,,0,0,0,222,0,0,0,"Jun,2020",6/23/20,2020,6,West,4,481,18,60490,3490,3101,93,134,3622,4129,90,100,4380,4001,379,4475,4049,426,21,18,1334,3,17,4,9,3,1,3.75,64,-150
Alaska,AK,,4,0,0,1623,15,0,0,"Jul,2020",7/28/20,2020,7,West,9,2049,83,120921,3490,3101,93,134,3622,4129,90,100,4380,4001,379,4475,4049,426,21,18,1334,3,17,4,9,3,1,3.75,64,-150
Alaska,AK,,16,0,0,1737,22,0,0,"Aug,2020",8/26/20,2020,8,West,14,2293,90,115524,3490,3101,93,134,3622,4129,90,100,4380,4001,379,4475,4049,426,21,18,1334,3,17,4,9,3,1,3.75,64,-150
Alaska,AK,,1,0,0,1659,26,0,0,"Sep,2020",9/29/20,2020,9,West,19,2603,74,108577,3490,3101,93,134,3622,4129,90,100,4380,4001,379,4475,4049,426,21,18,1334,3,17,4,9,3,1,3.75,64,-150
Alaska,AK,,20,0,0,1782,121,0,0,"Oct,2020",10/27/20,2020,10,West,26,7423,140,147000,3490,3101,93,134,3622,4129,90,100,4380,4001,379,4475,4049,426,21,18,1334,3,17,4,9,3,1,3.75,64,-150
Alaska,AK,,59,0,0,3201,458,0,1,"Nov,2020",11/24/20,2020,11,West,39,16011,270,407189,3490,3101,93,134,3622,4129,90,100,4380,4001,379,4475,4049,426,21,18,1334,3,17,4,9,3,1,3.75,64,-150
Alaska,AK,,105,0,0,5272,1322,0,4,"Dec,2020",12/28/20,2020,12,West,85,14138,298,264354,3490,3101,93,134,3622,4129,90,100,4380,4001,379,4475,4049,426,21,18,1334,3,17,4,9,3,1,3.75,64,-150
Alaska,AK,,52,0,0,3862,328,0,0,"Jan,2021",1/25/21,2021,1,West,56,7137,182,224575,3490,3101,93,134,3622,4129,90,100,4380,4001,379,4475,4049,426,21,18,1334,3,17,4,9,3,1,3.75,64,-150
