name,abbreviation,staff_tests,staff_tests_with_multiples,weekly_staff_cases,total_staff_cases,weekly_staff_recovered,staff_recovered,weekly_staff_deaths,total_staff_deaths,weekly_prisoner_tests,prisoner_tests,prisoner_tests_with_multiples,weekly_prisoner_cases,total_prisoner_cases,weekly_prisoners_recovered,prisoners_recovered,total_prisoner_deaths,as_of_date,notes
Alabama,AL,,,,978,,817,,3,,,14773,,1413,,1206,60,2/2/21,
Alaska,AK,,,,271,,,,0,,,21236,,2299,,,5,2/2/21,
Arizona,AZ,,,,2526,,2213,,,,43589,,,10924,,8107,48,2/2/21,
Arkansas,AR,,,,,,,,4,,,,,10954,,10864,52,2/2/21,
California,CA,,,9,9,,,,0,166,166,,1,1,0,0,0,3/26/20,
Colorado,CO,,,,1501,,,,0,,18129,154798,,8273,,,28,2/2/21,Vaccine numbers as of 2/1
Connecticut,CT,,36826,,1447,,1253,,0,,,53885,,3811,,3620,19,2/2/21,
Delaware,DE,,,0,0,0,0,0,0,,4,,0,0,0,0,0,3/24/20,
Florida,FL,,,,5234,,4733,,6,,,,,17767,,17527,205,2/3/21,
Georgia,GA,,,,1570,,1452,,4,,,,,3366,,3075,88,2/3/21,
Hawaii,HI,,,,218,,211,,0,,,14186,,1875,,1859,3,2/3/21,
Idaho,ID,5166,,,448,,429,,0,,10266,,,3996,,2680,6,2/2/21,
Illinois,IL,,73311,,3975,,3826,,1,,,232460,,10361,,10007,85,2/2/21,
Indiana,IN,,5407,,1470,,1367,,4,,,15439,,3267,,3146,49,2/2/21,"In past weeks, Indiana has counted some people more than once in their prisoners recovered numbers, if someone were to be reinfected and then recover again. Starting this week, they are removing all of those duplicates, so be careful when comparing to past weeks. They're vaccinating prisoners 70 years old and older."
Iowa,IA,,,,686,,676,,2,,,38351,,4470,,4419,17,2/2/21,
Kansas,KS,,,,1148,,,,5,,,,,5903,,,14,2/4/21,
Kentucky,KY,,,,928,,854,,5,,,,,6884,,6568,43,2/2/21,
Louisiana,LA,2387,,,866,,804,,6,,7820,,,2846,,2722,35,2/2/21,
Maine,ME,,,,53,,52,,0,,,7021,,157,,157,1,2/3/21,
Maryland,MD,,46244,,2008,,1805,,4,,51564,,,3916,,3602,21,2/1/21,
Massachusetts,MA,,,,,,,,,,,,,,,,,2/3/21,
Michigan,MI,,125935,,3474,,3012,,4,,40464,481931,,24389,,20688,133,2/2/21,
Minnesota,MN,,,,989,,811,,,,,92783,,3871,,3764,11,2/3/21,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
Mississippi,MS,,,,,,,,,,,3315,,1390,,1364,23,2/3/21,
Missouri,MO,,12844,,2522,,2451,,6,,,71283,,5369,,5280,42,2/2/21,
Montana,MT,,,,,,,,0,,,,,,,,0,3/26/20,back-filled data based on 4/22 responses
Nebraska,NE,,,,,,,,,,3660,6577,,956,,893,6,2/5/21,
Nevada,NV,,,,1012,,,,4,,,,,4672,,,52,2/2/21,
New Hampshire,NH,,,,169,,166,,0,,,1371,,443,,429,2,2/2/21,
New Jersey,NJ,,,,2007,,,,,,,,,4283,,,52,2/2/21,
New Mexico,NM,,,,882,,799,,0,,,31841,,2549,,2379,26,2/2/21,
New York,NY,,,,4403,,3947,,7,,,60255,,5163,,4554,31,2/2/21,
North Carolina,NC,,55949,,3398,,2928,,7,,38246,95755,,9109,,7420,42,2/2/21,
North Dakota,ND,1052,17020,,267,,260,,1,,2959,22867,,620,,615,1,2/3/21,
Ohio,OH,,,,4528,,4299,,10,,,56978,,9331,,7157,133,2/5/21,
Oklahoma,OK,,10537,,962,,,,,,,27761,,6988,,,46,2/3/21,
Oregon,OR,,,,806,,749,,0,,,20549,,3397,,3093,42,2/2/21,Oregon has outsourced its staff vaccination to Safeway and is no longer tracking numbers.
Pennsylvania,PA,,,,,,,,,,,,,,,,,2/2/21,Pennsylvania is taking down its case dashboard for a month and is only making a small subset of case information available until it returns.
Rhode Island,RI,,,,382,,373,,1,,,,,1113,,1092,2,2/1/21,Vaccine numbers as of 2/2
South Carolina,SC,,,,948,,822,,2,,9279,,,2974,,2741,37,2/2/21,
South Dakota,SD,,406,,185,,184,,0,,,6957,,2337,,2330,7,2/2/21,
Tennessee,TN,,9153,,1451,,1374,,4,,,37548,,6540,,6401,41,2/2/21,
Texas,TX,,149935,,10651,,9465,,37,,,376621,,33246,,29282,187,2/2/21,
Utah,UT,,,,364,,311,,,,,21593,,3147,,3015,15,2/2/21,
Vermont,VT,,,,53,,39,,0,,2675,13502,,366,,242,0,2/2/21,"Prison health care staff have been vaccinated, but not COs, and they don't have those figures yet."
Virginia,VA,,,,2336,,2160,,3,,,86057,,8607,,7886,54,2/4/21,
Washington,WA,,,,1076,,,,2,,,,,5940,,5489,10,2/2/21,
West Virginia,WV,,9029,,440,,432,,1,,,9505,,1548,,1527,4,2/2/21,"The vaccination numbers include all staff, not just the ones counted in our covid count"
Wisconsin,WI,,,,2437,,2392,,,,,87243,,10783,,10465,25,2/2/21,
Wyoming,WY,,,,,,,,,,,,,,,,,,
Federal,US,,,,6163,,4335,,3,,101596,,,47477,,45040,226,2/2/21,
Alabama,AL,,,,951,,800,,3,,,14694,,1369,,1198,60,1/25/21,
Alaska,AK,,,,268,,,,0,,,19858,,2294,,,5,1/25/21,Alaska is not tracking vaccination numbers for staff or prisoners.
Arizona,AZ,,,,2429,,1911,,,,43447,,,9547,,7563,47,1/26/21,
Arkansas,AR,,,,,,,,4,,,,,10905,,10791,52,1/26/21,
California,CA,,,18,27,,,,0,100,266,,7,8,0,0,0,4/1/20,
Colorado,CO,,,,1453,,,,,,18024,150662,,8147,,,27,1/26/21,
Connecticut,CT,,35339,,1411,,1165,,0,,,48558,,3723,,3445,19,1/26/21,
Delaware,DE,,,0,0,0,0,0,0,,5,,0,0,0,0,0,4/1/20,
Florida,FL,,,,5104,,4574,,6,,,,,17753,,17474,,1/26/21,Florida said two prisoners whose deaths were earlier reported as COVID have now been ruled to be unrelated.
