Bureau of Justice Statistics,,,,,,,,,,
Filename: p19t19.csv,,,,,,,,,,
"Table 19. Prisoners under military jurisdiction, by branch of service, 2018 and 2019",,,,,,,,,,
Report title: Prisoners in 2019  NCJ 255115,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2018 and 2019",,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 10/22/2020,,,,,,,,,,
,,,,,,,,,,
"Table 19. Prisoners under military jurisdiction, by branch of service, 2018 and 2019",,,,,,,,,,
,,Total population/a,,,,,Sentenced population/b,,,
Jurisdiction,,2018,2019,"Percent change, 2018-2019",,,2018,2019,"Percent change, 2018-2019",
,All prisoners,"1,287","1,214",-5.7,%,,"1,005","1,117",11.1,%
Branch of service,,,,,,,,,,
,U.S. Air Force,243,228,-6.2,%,,197,221,12.2,%
,U.S. Army,574,577,0.5,,,483,547,13.3,
,U.S. Marine Corps,275,261,-5.1,,,183,164,-10.4,
,U.S. Navy,182,140,-23.1,,,130,177,36.2,
,U.S. Coast Guard,13,8,-38.5,,,12,8,-33.3,
In custody of—,,,,,,,,,,
,U.S. Air Force,30,22,-26.7,%,,3,3,0,%
,U.S. Army,710,742,4.5,,,641,678,5.8,
,U.S. Marine Corps,197,197,0,,,110,83,-24.5,
,U.S. Navy,350,253,-27.7,,,251,353,40.6,
Note: Counts are for December 31 of each year.,,,,,,,,,,
"a/Includes all prisoners under military jurisdiction, regardless of conviction status or sentence length.",,,,,,,,,,
b/Includes prisoners sentenced to more than one year under military jurisdiction.,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2018 and 2019.",,,,,,,,,,
