Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: csfcf05at04.csv,,,,,,,,,,,,,
"Appendix table 4. Design and rated capacities of correctional faclities under state or federal authority, June 30, 2000, and December 30, 2005",,,,,,,,,,,,,
"Report title:  Census of State and Federal Correctional Facilities, 2005 NCJ 222182",,,,,,,,,,,,,
"Data sources: BJS, Census of State and Federal Correctional Facilities, 2000 and 2005",,,,,,,,,,,,,
Author:  James J. Stephan,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,,,,,,,,
Date of version:  09/30/08,,,,,,,,,,,,,

"Appendix table 4. Design and rated capacities of correctional facilities under state or federal authority, June 30, 2000, and December 30, 2005",,,,,,,,,,,,,

,,Design capacity,,Percent of design capacity occupied ,,,,Rated capacity ,,Percent of rated capacity occupied,,,
Region and authority,,2000/a,2005/a,2000,,2005,,2000,2005,2000,,2005,
U.S. total,,...,...,            :,%,           :,%,"1,278,471","1,289,681",102,%,111,%
,Public/b,"904,767",...      ,122,,           :,,"1,173,338","1,174,810",103,,112,
,Private,"104,790",...,89,,           :,,"105,133","114,706",89,,95,
,Federal,...,...       ,            :,,           :,,"83,113","106,732",134,,137,
,State/c,"1,009,557","963,404",118,,114,,"1,195,358","1,182,784",100,,108,
Region (excluding federal),,,,,,,,,,,,,
Northeast,,"137,753","132,838",125,%,115,%,"160,700","168,788",107,%,102,%
,Connecticut,"16,869",...,101,,0,,"17,600","18,688",97,,102,
,Maine,"1,462","1,801",111,,109,,"1,545","1,837",105,,107,
,Massachusetts/d,"9,611","8,610",109,,119,,"12,096","10,980",87,,93,
,New Hampshire,"2,203","2,402",103,,99,,"2,000","2,177",114,,109,
,New Jersey,"20,861","18,131",130,,142,,"26,979","26,024",101,,99,
,New York,"55,299","57,705",130,,111,,"69,014","63,458",104,,101,
,Pennsylvania,"26,357","38,518",140,,112,,"26,402","40,098",140,,108,
,Rhode Island,"3,857","4,054",87,,84,,"3,719","3,861",90,,88,
,Vermont,"1,234","1,617",106,,99,,"1,345","1,665",97,,96,
Midwest,,"186,371","105,887",126,%,109,%,"214,817","229,382",109,%,110,%
,Illinois/e,"28,978",...,152,,0,,"33,761","30,797",131,,136,
,Indiana,"9,932","18,708",183,,124,,"15,215","25,108",120,,92,
,Iowa,"8,234","8,520",110,,119,,"8,484","8,719",107,,116,
,Kansas,"8,996","9,823",100,,96,,"9,094","9,655",99,,98,
,Michigan,"49,341",...,97,,0,,"48,190","50,674",99,,99,
,Minnesota,"8,175","9,184",91,,105,,"8,175","9,979",91,,97,
,Missouri,"25,370","26,153",110,,121,,"29,815","32,401",94,,98,
,Nebraska,"2,303","3,115",152,,140,,"3,419",      ...,103,,0,
,North Dakota,390,"1,455",254,,97,,907,"1,455",109,,97,
,Ohio,"30,506",...,157,,0,,"40,707","36,561",118,,122,
,South Dakota,"2,372","2,605",109,,132,,"2,633","3,653",98,,94,
,Wisconsin,"11,774","16,324",132,,136,,"14,417","20,380",108,,109,
South,,"482,762","514,461",107,%,103,%,"545,080","537,896",95,%,104,%
,Alabama,"17,693","12,918",127,,179,,"22,158",      ...,101,,0,
,Arkansas,"10,026","13,913",104,,100,,"10,026","14,673",104,,95,
