Bureau of Justice Statistics,,,,,,,
Filename: csfcf05at06.csv,,,,,,,
"Appendix table 6. Number of correctional facilities under state or federal authority, under court order or consent decree, June 30, 2000, and December 30, 2005",,,,,,,
"Report title: Census of State and Federal Correctional Facilities, 2005 NCJ 222182",,,,,,,
"Data source: Census of State and Federal Correctional Facilities, 2005",,,,,,,
Author:  James J. Stephan,,,,,,,
Refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,,
Date of version:  09/30/08,,,,,,,

"Appedix table 6. Number of correctional facilities under state or federal authority, under court order or consent decree, June 30, 2000, and December 30, 2005",,,,,,,

,,For any reason,,To limit population,,For specific conditions,
Region and authority,,2000,2005,2000,2005,2000,2005
U.S. total,,357,239,145,44,320,218
,Public/a,324,199,119,21,303,190
,Private,33,40,26,23,17,28
,Federal,0,1,0,0,0,1
,State/b,357,238,145,44,320,217
Region (excluding federal),,,,,,,
Northeast,,109,39,12,4,104,37
,Connecticut,20,20,0,3,20,18
,Maine,0,0,0,0,0,0
,Massachusetts/c,2,1,0,0,2,1
,New Hampshire,0,0,0,0,0,0
,New Jersey,10,14,5,0,6,14
,New York,69,3,0,0,69,3
,Pennsylvania,0,0,0,0,0,0
,Rhode Island,7,0,6,0,7,0
,Vermont,1,1,1,1,0,1
Midwest,,54,19,11,8,50,16
,Illinois/d,1,1,0,0,1,1
,Indiana,6,1,3,1,6,1
,Iowa,3,0,1,0,2,0
,Kansas,1,1,1,1,0,1
,Michigan,7,6,4,2,5,5
,Minnesota,0,3,0,1,0,2
,Missouri,4,1,2,1,4,1
,Nebraska,0,0,0,0,0,0
,North Dakota,0,0,0,0,0,0
,Ohio,32,4,0,2,32,3
,South Dakota,0,0,0,0,0,0
,Wisconsin,0,2,0,0,0,2
South,,129,139,92,21,112,127
,Alabama,1,5,0,3,1,2
,Arkansas,0,0,0,0,0,0
,Delaware,1,1,0,0,1,1
,District of Columbia/e,4,0,2,0,4,0
,Florida,0,4,0,0,0,4
,Georgia,9,2,5,2,6,0
,Kentucky,0,1,0,0,0,1
,Louisiana,0,0,0,0,0,0
,Maryland,1,0,0,0,1,0
,Mississippi,6,3,5,3,3,3
,North Carolina,11,8,10,7,9,5
,Oklahoma,15,2,5,2,12,0
,South Carolina,3,0,2,0,1,0
,Tennessee,14,1,0,1,14,0
,Texas,64,111,63,2,60,111
,Virginia,0,0,0,0,0,0
,West Virginia,0,1,0,1,0,0
West,,65,41,30,11,54,37
,Alaska,12,3,12,2,11,2
,Arizona,10,1,0,1,10,1
,California,33,1,12,1,27,0
,Colorado,4,29,4,4,1,28
,Hawaii,0,0,0,0,0,0
,Idaho,1,1,1,1,0,1
,Montana,1,1,0,0,1,1
,Nevada,1,2,1,1,1,1
,New Mexico,2,0,0,0,2,0
,Oregon,0,0,0,0,0,0
,Utah,0,0,0,0,0,0
,Washington,1,2,0,1,1,2
,Wyoming,0,1,0,0,0,1
a/Includes facilities operated by both federal and state authorities.,,,,,,,
b/Includes private facilities.,,,,,,,
c/The total number of facilities in 2005 are as of June 30. ,,,,,,,
d/The total number of facilities in 2005 were reported by the Illinois Department of Corrections as of June 30.,,,,,,,
"e/As of December 30, 2001, sentenced felons from the District of Columbia were the reponsibility of the Federal Bureau of Prisons. Some inmates were housed in private facilities under contract to the District of Columbia on December 30, 2005.",,,,,,,
