Bureau of Justice Statistics,,,,,,,,
Filename: csfcf05at07.csv,,,,,,,,
"Appendix table 7. Number of correctional facilities under state or federal authority, under court order or consent decree to limit population, by facility size, December 30, 2005",,,,,,,,
"Report title: Census of State and Federal Correctional Facilities, 2005. NCJ 222182.",,,,,,,,
"Data source: Census of State and Federal Correctional Facilities, 2005",,,,,,,,
Author:  James J. Stephan,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,,,
Date of version:  09/30/08,,,,,,,,

"Appendix table 7. Number of correctional facilities under state or federal authority, under court order or consent decree to limit population, by facility size, December 30, 2005",,,,,,,,

,,Facility size based on average daily population,,,,,,
Region and authority,,Fewer than 100,100-249,250-499,500-999,"1,000-1,499","1,500 or more",Not available
U.S. total,,19,8,6,2,1,7,1
,Public ,1,4,6,2,1,6,1
,Private,18,4,0,0,0,1,0
,State*,19,8,6,2,1,7,1
Region (excluding federal),,,,,,,,
Northeast,,3,1,0,0,0,0,0
,Connecticut,3,0,0,0,0,0,0
,Vermont,0,1,0,0,0,0,0
Midwest,,3,2,0,0,0,3,0
,Indiana,0,0,0,0,0,1,0
,Kansas,0,0,0,0,0,1,0
,Michigan,2, ,0,0,0,0,0
,Minnesota,1,0,0,0,0,0,0
,Missouri,0,0,0,0,0,1,0
,Ohio,0,2,0,0,0,0,0
South,,5,4,6,2,0,4,0
,Alabama,0,0,3,0,0,0,0
,Georgia,1,0,0,0,0,1,0
,Mississippi,0,0,0,0,0,3,0
,North Carolina,0,2,3,2,0,0,0
,Oklahoma,0,2,0,0,0,0,0
,Tennessee,1,0,0,0,0,0,0
,Texas,2,0,0,0,0,0,0
,West Virginia,1,0,0,0,0,0,0
West,,8,1,0,0,1,0,1
,Alaska,2,0,0,0,0,0,0
,Arizona,1,0,0,0,0,0,0
,California,0,0,0,0,0,0,1
,Colorado,4,0,0,0,0,0,0
,Idaho,0,0,0,0,1,0,0
,Nevada,0,1,0,0,0,0,0
,Washington,1,0,0,0,0,0,0
*Includes private facilities.,,,,,,,,
