Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: csfcf05at10.csv,,,,,,,,,,,,,
"Appendix table 10. Number of inmates in correctional facilities under state or federal authority, by gender and type of facility, December 30, 2005",,,,,,,,,,,,,
"Report title: Census of State and Federal Correctional Facilities, 2005 NCJ 222182",,,,,,,,,,,,,
"Data source: BJS, Census of State and Federal Correctional Facilities, 2005",,,,,,,,,,,,,
Author: James J. Stephan,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,,,,,,,,
Date of version: 09/30/08,,,,,,,,,,,,,

"Appendix table 10. Number of inmates in correctional facilities under state or federal authority, by gender and type of facility, December 30, 2005",,,,,,,,,,,,,

,,All facilities,,,,Confinement facilities,,,,Community-based facilities,,,
Region and authority,,Total,Men,Women,Not reported,Total,Men,Women,Not reported,Total,Men,Women,Not reported
U.S. total,,"1,430,208","1,317,492","97,205","15,511","1,375,975","1,273,594","91,697","10,684","54,233","43,881","5,525","4,827"
,Public/a,"1,321,757","1,225,190","90,283","6,284","1,290,371","1,196,922","87,453","5,996","31,386","28,251","2,847",288
,Private,"108,451","92,302","6,922","9,227","85,604","76,672","4,244","4,688","22,847","15,630","2,678","4,539"
,Federal,"145,780","137,436","8,344",0,"145,780","137,436","8,344",0,0,0,0,0
,State/b,"1,284,428","1,180,056","88,861","15,511","1,230,195","1,136,158","83,353","10,684","54,233","43,881","5,525","4,827"
Region (excluding federal),,,,,,,,,,,,,
Northeast,,"171,465","159,517","8,984","2,964","164,271","154,660","8,569","1,042","7,194","4,947",424,"1,823"
,Connecticut,"19,019","17,249","1,402",368,"18,008","16,693","1,297",18,"1,011",556,105,350
,Maine,"1,968","1,843",125,0,"1,900","1,777",123,0,68,66,2,0
,Massachusetts/c,"10,262","9,398",782,82,"9,692","8,910",782,0,570,488,0,82
,New Hampshire,"2,373","2,235",138,0,"2,223","2,123",100,0,150,112,38,0
,New Jersey,"25,724","23,387","1,332","1,005","23,714","22,087","1,127",500,"2,010","1,300",205,505
,New York,"63,855","60,803","2,873",179,"62,011","59,156","2,855",0,"1,844","1,647",18,179
,Pennsylvania,"43,254","40,280","1,994",980,"41,812","39,691","1,947",174,"1,442",589,47,806
,Rhode Island,"3,414","3,226",188,0,"3,414","3,226",188,0,0,0,0,0
,Vermont,"1,596","1,096",150,350,"1,497",997,150,350,99,99,0,0
Midwest,,"255,134","232,976","17,462","4,696","247,020","226,882","16,127","4,011","8,114","6,077","1,352",685
,Illinois/d,"44,669","41,848","2,821",0,"43,859","41,162","2,697",0,810,669,141,0
,Indiana,"23,205","21,282","1,923",0,"22,807","20,970","1,837",0,398,312,86,0
,Iowa,"10,145","8,946","1,002",197,"8,721","7,921",800,0,"1,424","1,025",202,197
,Kansas,"9,474","8,693",742,39,"9,231","8,521",710,0,243,172,32,39
,Michigan,"50,082","47,440","2,128",514,"49,766","47,231","2,076",459,316,209,52,55
,Minnesota,"9,680","9,061",552,67,"9,535","8,950",518,67,145,111,34,0
,Missouri,"31,748","29,075","2,560",113,"31,025","28,535","2,490",0,723,540,70,113
,Nebraska,"4,371","3,961",410,0,"3,921","3,598",323,0,450,363,87,0
