Bureau of Justice Statistics,,,,,,,,,
Filename: csfcf05at11.csv,,,,,,,,,
"Appendix table 11.  Number of inmates in correctional facilities under state or federal authority, by facility security level, June 30, 2000, and December 30, 2005",,,,,,,,,
"Report title: Census of State and Federal Correctional Facilities, 2005 NCJ 222182",,,,,,,,,
"Data source: Census of State and Federal Correctional Facilities, 2005",,,,,,,,,
Author:  James J. Stephan,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,,,,
Date of version:  09/30/08,,,,,,,,,

"Appendix table 11.  Number of inmates in correctional facilities under state or federal authority, by facility security level, June 30, 2000, and December 30, 2005",,,,,,,,,

,,,,Number of inmates in facilities with the security level of --,,,,,
,,All inmates,,Maximum/a,,Medium ,,Minimum/b,
Region and authority,,2000,2005,2000,2005,2000,2005,2000,2005
U.S. total,,"1,305,253","1,427,316","442,970","513,095","608,116","605,202","254,167","309,019"
,Public/c,"1,212,176","1,318,816","438,506","506,190","554,846","565,230","218,824","247,396"
,Private,"93,077","108,500","4,464","6,905","53,270","39,972","35,343","61,623"
,Federal,"110,974","145,780","16,181","21,855","39,534","59,171","55,259","64,754"
,State/d,"1,194,279","1,281,536","426,789","491,240","568,582","546,031","198,908","244,265"
Region (excluding federal),,,,,,,,,
Northeast,,"171,999","171,465","58,818","64,419","91,087","85,817","22,094","21,229"
,Connecticut,"16,984","19,019","8,997","10,313","4,859","3,801","3,128","4,905"
,Maine,"1,629","1,968",508,879,676,722,445,367
,Massachusetts/e,"10,500","10,262","2,404","2,395","6,888","6,902","1,208",965
,New Hampshire,"2,277","2,373","1,476","1,334",660,628,141,411
,New Jersey,"27,118","25,724","5,595","5,686","16,945","16,071","4,578","3,967"
,New York,"71,938","63,855","23,596","24,021","41,387","36,033","6,955","3,801"
,Pennsylvania,"36,895","43,254","14,814","18,142","17,145","19,141","4,936","5,971"
,Rhode Island,"3,347","3,414","1,428","1,649","1,405","1,171",514,594
,Vermont,"1,311","1,596",/, /,"1,122","1,348",189,248
Midwest,,"233,993","252,242","75,724","98,565","102,902","106,508","55,367","47,169"
,Illinois/f,"44,150","41,777","13,063","9,576","18,127","22,441","12,960","9,760"
,Indiana,"18,195","23,205","2,048","6,726","12,828","15,267","3,319","1,212"
,Iowa,"9,086","10,145","2,086","2,317","5,068","5,905","1,932","1,923"
,Kansas,"8,992","9,474","7,256","7,487",842,779,894,"1,208"
,Michigan,"47,639","50,082","14,674","22,017","11,552","12,918","21,413","15,147"
,Minnesota,"7,451","9,680","3,083","3,764","4,368","5,140",/,776
,Missouri,"27,963","31,748","10,392","20,345","11,747","6,701","5,824","4,702"
,Nebraska,"3,508","4,371","2,200","3,389",679,532,629,450
,North Dakota,992,"1,411",628,536,216,384,148,491
,Ohio,"47,915","44,717","14,840","14,549","27,154","22,207","5,921","7,961"
,South Dakota,"2,591","3,451",/,"1,836","2,517","1,485",74,130
,Wisconsin,"15,511","22,181","5,454","6,023","7,804","12,749","2,253","3,409"
South,,"518,912","561,927","212,144","241,408","227,710","209,127","79,058","111,392"
,Alabama,"22,422","23,174","5,736","5,541","10,655","12,729","6,031","4,904"
,Arkansas,"10,465","13,921","2,123",982,"7,363","10,867",979,"2,072"
,Delaware,"6,023","6,781","2,283","4,332","2,814","1,246",926,"1,203"
,District of Columbia/g,"3,767",300,416,0,"2,758",0,593,300
,Florida,"71,616","86,705","62,876","77,210","4,103","5,405","4,637","4,090"
,Georgia,"44,299","51,822","21,762","23,462","17,604","20,506","4,933","7,854"
,Kentucky,"12,378","14,932","1,477","3,093","8,793","9,215","2,108","2,624"
,Louisiana,"19,167","20,344","9,818","10,108","8,246","9,078","1,103","1,158"
,Maryland,"22,821","22,613","7,346","3,630","9,773","12,376","5,702","6,607"
,Mississippi,"14,823","16,967","2,767","5,364","10,692","9,784","1,364","1,819"
,North Carolina,"30,708","38,233","8,714","11,089","12,329","15,145","9,665","11,999"
,Oklahoma,"23,858","25,149","3,707","2,436","12,308","13,018","7,843","9,695"
,South Carolina,"21,277","22,537","6,932","9,408","8,671","9,740","5,674","3,389"
,Tennessee,"18,368","19,484","3,075","10,242","14,911","8,617",382,625
,Texas,"162,440","163,556","60,711","60,395","82,871","55,930","18,858","47,231"
,Virginia,"31,412","31,478","10,353","12,717","13,369","14,961","7,690","3,800"
,West Virginia,"3,068","3,931","2,048","1,399",450,510,570,"2,022"
West,,"269,375","295,902","80,103","86,848","146,883","144,579","42,389","64,475"
,Alaska,"3,248","4,146","1,302","2,075",891,"1,344","1,055",727
,Arizona,"30,832","32,855","13,572","24,649","10,626","3,896","6,634","4,310"
,California,"163,383","169,988","44,939","30,539","101,376","99,424","17,068","40,025"
,Colorado,"15,695","20,842","5,474","6,517","5,993","8,685","4,228","5,640"
,Hawaii,"3,761","3,951",/,"1,453","3,054","1,880",707,618
,Idaho,"3,961","5,975",856,854,"1,363","3,167","1,742","1,954"
,Montana,"2,368","3,160","1,376","1,729",422,595,570,836
,Nevada,"9,296","11,726","1,022","1,082","6,435","8,226","1,839","2,418"
,New Mexico,"5,158","7,183",680,"1,976","3,347","3,715","1,131","1,492"
,Oregon,"9,933","13,049","1,926","3,596","6,127","7,167","1,880","2,286"
,Utah,"4,872","5,461",/,"3,922","4,170","1,135",702,404
,Washington,"14,682","16,146","7,985","7,749","2,462","5,345","4,235","3,052"
,Wyoming,"2,186","1,420",971,707,617,/,598,713
"Note:  Security level refers to the overall physical security rating of the facility, rather than the custody classification of the inmates housed in them.",,,,,,,,,
"/No one facility under state authority was reported to operate predominately at one (maximum, medium, or minimum) security level.",,,,,,,,,
"a/Includes facilities classified as super maximum, close, or high security.",,,,,,,,,
b/Includes facilities classified as low or no security level designated.,,,,,,,,,
c/Includes facilities operated by both federal and state authorities.,,,,,,,,,
d/Includes private facilities.
"e/Security level is estimated based on information reported as of June 30, 2000."
"f/Excludes 2,892 inmates in Illinois in 2005 for whom facility security information could not be estimated."
"g/As of December 30, 2001, sentenced felons from the District of Columbia were the reponsibility of the Federal Bureau of Prisons. Some inmates were housed in private facilities under contract to the District of Columbia on December 30, 2005."
