Region,Design capacity 2000/a,Design capacity 2005/a,Percent of design capacity occupied 2000,Percent of design capacity occupied 2005,Rated capacity 2000,Rated capacity 2005,Percent of rated capacity occupied 2000,Percent of rated capacity occupied 2005,Total_18,Male_18,Female_18,Total_19,Male_19,Female_19,Total number of facilities,Facilities operating one or more work programs,Inmates participating in one or more work programs,Prison industries,Support services,Farming ,Public works,Other work programs ,No work programs,phone_rate_avg,Latitude,Longitude
Alabama,"17,693","12,918",127,179,"22,158","22,158",101,0,"26,841","24,439","2,402","28,304","25,555","2,749",33,24,28,7,10,6,9,5,7,4.5,32.75,-86.75
Alaska,"3,490","3,101",93,134,"3,622","4,129",90,100,"4,380","4,001",379,"4,475","4,049",426,21,18,"1,334",3,17,4,9,3,1,3.75,64,-150
Arizona,"30,426","30,591",101,107,"29,482","34,013",105,97,"42,005","37,820","4,185","42,441","38,035","4,406",21,17,"20,194",10,15,5,12,4,2,4.8,34.5,-111.5
Arkansas,"10,026","13,913",104,100,"10,026","14,673",104,95,"17,799","16,396","1,403","17,759","16,188","1,571",26,25,"10,739",0,24,2,7,2,1,4.8,34.75,-92.5
California,"97,740","95,562",167,178,"167,367","120,625",98,141,"128,625","122,847","5,778","122,687","117,119","5,568",100,82,"77,199",28,44,7,34,29,15,2.03,37.25,-119.75
Colorado,"16,543","19,388",95,107,"17,882","22,451",88,93,"20,372","18,347","2,025","19,785","17,866","1,919",58,36,"13,369",15,28,4,12,9,12,2.775,39,-105.5
Connecticut,"16,869","16,869",101,0,"17,600","18,688",97,102,"13,681","12,679","1,002","12,823","11,882",941,49,32,322,4,22,2,4,9,9,4.87,41.6227,-72.7028
Delaware,"4,567","5,419",132,125,"5,716","6,845",105,99,"6,067","5,646",421,"5,692","5,313",379,12,12,"1,781",2,11,2,3,1,0,2.55,38.6716,-75.4165
Florida,"56,402","87,861",127,99,"75,619","67,915",95,128,"97,538","90,812","6,726","96,009","89,381","6,628",109,105,"68,175",14,101,29,66,4,3,2.1,28.42,-81.55
Georgia,"44,289","51,380",100,101,"45,552","53,162",97,97,"53,647","49,708","3,939","54,816","50,798","4,018",87,83,"36,774",14,62,14,55,20,2,3.7,32.1598,-83.4715
Hawaii,"2,535","2,625",148,151,"3,460","3,581",109,110,"5,375","4,716",659,"5,279","4,523",756,10,8,"1,718",3,7,3,5,1,2,3.3575,20.79,-156.34
Idaho,"4,431","5,351",89,112,"5,233","5,948",76,100,"8,664","7,524","1,140","9,437","8,117","1,320",15,13,"2,286",4,12,0,6,4,1,2.3,44.0739,-114.542
Illinois,"28,978","28,978",152,0,"33,761","30,797",131,136,"39,965","37,627","2,338","38,259","35,995","2,264",44,43,"29,544",5,43,0,10,8,1,3.59,40,-89.25
Indiana,"9,932","18,708",183,124,"15,215","25,108",120,92,"26,877","24,310","2,567","27,180","24,576","2,604",23,21,"17,185",9,19,5,16,6,2,3.6,40,-86.25
Iowa,"8,234","8,520",110,119,"8,484","8,719",107,116,"9,419","8,582",837,"9,282","8,443",839,31,27,"5,944",6,10,6,8,22,2,2.3375,42,-93.5
Kansas,"8,996","9,823",100,96,"9,094","9,655",99,98,"10,218","9,289",929,"10,177","9,267",910,13,12,"5,975",6,9,2,9,2,0,2.7,38.5,-98.5
Kentucky,"11,349","14,255",109,105,"13,010","15,451",95,97,"23,431","20,380","3,051","23,082","20,177","2,905",25,25,"9,862",11,23,4,16,6,0,5.1,37.79,-84.87
Louisiana,"18,792","19,395",102,105,"19,704","19,415",97,105,"32,397","30,649","1,748","31,609","29,920","1,689",23,21,"16,469",8,14,13,12,8,2,3.8225,30.6935,-92.241
Maine,"1,462","1,801",111,109,"1,545","1,837",105,107,"2,425","2,188",237,"2,185","2,000",185,7,7,"1,921",5,5,4,4,1,0,4.325,45.5,-69.24
Maryland,"17,517","16,063",130,141,"24,466","24,265",93,93,"18,856","18,033",823,"18,595","17,864",731,29,24,"13,825",11,23,0,12,4,2,4.0675,39.4444,-77.0834
Massachusetts,"9,611","8,610",109,119,"12,096","10,980",87,93,"8,692","8,168",524,"8,205","7,904",301,17,16,"2,987",10,16,1,8,2,0,1.93,42.3616,-72.1839
Michigan,"49,341","49,341",97,0,"48,190","50,674",99,99,"38,761","36,680","2,081","38,053","36,024","2,029",62,56,"28,519",15,51,7,22,11,2,3,43.1045,-84.6165
Minnesota,"8,175","9,184",91,105,"8,175","9,979",91,97,"10,101","9,402",699,"9,982","9,317",665,18,13,"6,608",8,12,1,6,3,4,3.6,46.25,-94.25
Mississippi,"17,690","18,222",84,93,"17,238","18,229",86,93,"19,275","17,886","1,389","19,417","18,034","1,383",31,29,"10,723",3,13,3,19,0,0,3.675,33.503,-89.8071
Missouri,"25,370","26,153",110,121,"29,815","32,401",94,98,"30,369","27,255","3,114","26,044","23,643","2,401",28,23,"23,769",13,21,2,16,7,3,1.75,38.25,-92.5
Montana,"1,930","2,332",123,136,"2,436","3,118",97,101,"3,765","3,318",447,"4,723","4,175",548,11,9,"1,669",1,5,1,1,6,2,2.04,47,-109.75
Nebraska,"2,303","3,115",152,140,"3,419","3,419",103,0,"5,491","5,061",430,"5,682","5,254",428,9,9,870,6,8,1,3,2,0,1.135,41.5,-99.75
