name,state,staff_tests,total_staff_cases,staff_recovered,total_staff_deaths,prisoner_tests,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,as_of_date,as_of_date_month_year,year,month,region
Alabama,AL,568,951,800,3,14694,1369,1198,60,1/25/21,01-2021,2021,1,South
Alabama,AL,568,907,774,3,14552,1294,1138,57,1/18/21,01-2021,2021,1,South
Alabama,AL,568,863,550,2,14447,1262,1026,54,1/12/21,01-2021,2021,1,South
Alabama,AL,568,863,550,2,14447,1262,1026,54,1/5/21,01-2021,2021,1,South
Alaska,AK,,268,11,0,19858,2294,2,5,1/25/21,01-2021,2021,1,West
Alaska,AK,,256,11,0,19213,2269,2,5,1/19/21,01-2021,2021,1,West
Alaska,AK,,256,11,0,18507,2222,2,5,1/12/21,01-2021,2021,1,West
Alaska,AK,,232,11,0,17155,2153,2,5,1/5/21,01-2021,2021,1,West
Arizona,AZ,,2429,1911,1,43447,9547,7563,47,1/26/21,01-2021,2021,1,West
Arizona,AZ,,2254,1775,1,43396,8778,7138,45,1/19/21,01-2021,2021,1,West
Arizona,AZ,,2137,1693,1,43136,8042,6591,44,1/12/21,01-2021,2021,1,West
Arizona,AZ,,1930,1539,1,43016,7608,5781,39,1/5/21,01-2021,2021,1,West
Arkansas,AR,5114,813,381,4,19960,10905,10791,52,1/26/21,01-2021,2021,1,South
Arkansas,AR,5114,813,381,4,19960,10877,10720,52,1/19/21,01-2021,2021,1,South
Arkansas,AR,5114,813,381,4,19960,10832,10696,51,1/12/21,01-2021,2021,1,South
Arkansas,AR,5114,813,381,4,19960,10741,10455,51,1/5/21,01-2021,2021,1,South
California,CA,,15012,13676,22,116347,46595,43309,187,1/26/21,01-2021,2021,1,West
California,CA,,14560,12421,19,116167,45486,40696,175,1/19/21,01-2021,2021,1,West
California,CA,,13957,11311,13,115858,44079,38028,162,1/12/21,01-2021,2021,1,West
California,CA,,12993,8962,11,115726,41562,33784,139,1/5/21,01-2021,2021,1,West
Colorado,CO,,1453,190,0,150662,8147,987,27,1/26/21,01-2021,2021,1,West
Colorado,CO,,1435,190,0,145871,8006,987,25,1/20/21,01-2021,2021,1,West
Colorado,CO,,1368,190,0,139888,7842,987,25,1/12/21,01-2021,2021,1,West
Colorado,CO,,1316,190,0,133447,7512,987,25,1/5/21,01-2021,2021,1,West
Connecticut,CT,35339,1411,1165,0,48558,3723,3445,19,1/26/21,01-2021,2021,1,Northeast
Connecticut,CT,34512,1313,1026,0,44161,3547,3225,17,1/19/21,01-2021,2021,1,Northeast
Connecticut,CT,32328,1234,947,0,44161,3508,3140,16,1/14/21,01-2021,2021,1,Northeast
Connecticut,CT,30106,1127,871,0,38489,3289,2756,14,1/5/21,01-2021,2021,1,Northeast
Delaware,DE,2568,573,468,1,10270,1899,1704,12,1/11/21,01-2021,2021,1,South
Federal,US,,6022,4032,3,100601,47183,43624,222,1/26/21,01-2021,2021,1,Federal
Federal,US,,5772,3792,3,99247,45317,40895,216,1/19/21,01-2021,2021,1,Federal
Federal,US,,5605,3553,3,98614,44757,39695,204,1/15/21,01-2021,2021,1,Federal
Federal,US,,4835,2997,3,96647,42066,35596,196,1/5/21,01-2021,2021,1,Federal
Florida,FL,7643,5104,4574,6,85222,17753,17474,205,1/26/21,01-2021,2021,1,South
Florida,FL,7643,4955,4373,6,85222,17734,17375,205,1/19/21,01-2021,2021,1,South
Florida,FL,7643,4953,4237,5,85222,17614,17332,204,1/13/21,01-2021,2021,1,South
Florida,FL,7643,4603,4011,5,85222,17560,17307,196,1/6/21,01-2021,2021,1,South
Georgia,GA,,1539,1377,2,,3314,2899,88,1/27/21,01-2021,2021,1,South
Georgia,GA,,1473,1288,2,,3056,2690,88,1/19/21,01-2021,2021,1,South
Georgia,GA,,1411,1224,2,,2893,2639,87,1/12/21,01-2021,2021,1,South
Georgia,GA,,1335,1167,2,,2785,2530,85,1/5/21,01-2021,2021,1,South
Hawaii,HI,,216,196,0,13989,1872,1851,2,1/26/21,01-2021,2021,1,West
Hawaii,HI,,211,194,0,13797,1871,1798,2,1/19/21,01-2021,2021,1,West
Hawaii,HI,,208,189,0,13672,1870,1751,2,1/12/21,01-2021,2021,1,West
Hawaii,HI,,204,175,0,13229,1816,1557,1,1/5/21,01-2021,2021,1,West
Idaho,ID,5150,445,419,0,10143,3966,2580,6,1/26/21,01-2021,2021,1,West
Idaho,ID,4454,424,404,0,9959,3909,2495,6,1/19/21,01-2021,2021,1,West
Idaho,ID,4315,410,394,0,9930,3836,2495,6,1/12/21,01-2021,2021,1,West
Idaho,ID,4296,401,381,0,9872,3775,2359,6,1/5/21,01-2021,2021,1,West
Illinois,IL,60577,3902,3732,1,187630,10197,9533,84,1/26/21,01-2021,2021,1,Midwest
Illinois,IL,47134,3807,3576,1,135368,9973,8959,80,1/19/21,01-2021,2021,1,Midwest
Illinois,IL,39154,3703,3451,1,112223,9561,7757,80,1/12/21,01-2021,2021,1,Midwest
Illinois,IL,30782,3532,3283,1,74923,8828,6930,70,1/5/21,01-2021,2021,1,Midwest
Indiana,IN,5376,1463,1352,4,14981,3234,3310,49,1/26/21,01-2021,2021,1,Midwest
Indiana,IN,5296,1437,1313,4,14418,3123,3260,49,1/19/21,01-2021,2021,1,Midwest
Indiana,IN,5219,1406,1264,4,13638,3092,3179,48,1/12/21,01-2021,2021,1,Midwest
Indiana,IN,5079,1356,1180,4,13589,3038,3115,46,1/5/21,01-2021,2021,1,Midwest
Iowa,IA,,678,653,2,37634,4427,4310,14,1/26/21,01-2021,2021,1,Midwest
Iowa,IA,,670,638,2,36539,4332,4150,14,1/19/21,01-2021,2021,1,Midwest
Iowa,IA,,651,615,2,35231,4240,4070,14,1/12/21,01-2021,2021,1,Midwest
Iowa,IA,,628,599,2,33660,4091,3947,13,1/5/21,01-2021,2021,1,Midwest
Kansas,KS,2150,1121,161,5,10918,5761,1018,14,1/28/21,01-2021,2021,1,Midwest
Kansas,KS,2150,1085,161,5,10918,5420,1018,13,1/21/21,01-2021,2021,1,Midwest
Kansas,KS,2150,1031,161,5,10918,5361,1018,13,1/11/21,01-2021,2021,1,Midwest
Kansas,KS,2150,1014,161,4,10918,5301,1018,13,1/7/21,01-2021,2021,1,Midwest
Kentucky,KY,81,898,778,5,44,6729,6112,42,1/26/21,01-2021,2021,1,South
