date,state,dataQualityGrade,deathIncrease (Deaths),positiveIncrease (increasing cases),hospitalizedIncrease (Hospitalized),totalTestsViralIncrease (Tested)
3/6/20,AK,unknown,0,0,0,8
3/7/20,AK,unknown,0,0,0,4
3/8/20,AK,unknown,0,0,0,2
3/9/20,AK,unknown,0,0,1,9
3/10/20,AK,unknown,0,0,0,0
3/11/20,AK,unknown,0,0,0,23
3/12/20,AK,unknown,0,0,0,0
3/13/20,AK,unknown,0,0,0,14
3/14/20,AK,unknown,0,0,0,84
3/15/20,AK,unknown,0,0,0,0
3/16/20,AK,unknown,0,0,0,0
3/17/20,AK,unknown,0,3,0,193
3/18/20,AK,unknown,0,5,0,75
3/19/20,AK,unknown,0,3,0,26
3/20/20,AK,unknown,0,3,0,260
3/21/20,AK,unknown,0,1,0,74
3/22/20,AK,unknown,0,10,0,196
3/23/20,AK,A,0,13,0,0
3/24/20,AK,A,0,4,1,54
3/25/20,AK,A,1,7,1,669
3/26/20,AK,A,0,14,1,169
3/27/20,AK,A,0,11,2,528
3/28/20,AK,A,1,17,4,533
3/29/20,AK,A,0,19,0,413
3/30/20,AK,A,1,8,0,320
3/31/20,AK,A,0,10,2,59
4/1/20,AK,A,0,13,3,890
4/2/20,AK,A,0,8,1,419
4/3/20,AK,A,0,11,1,994
4/4/20,AK,A,2,11,0,24
4/5/20,AK,A,1,14,4,244
4/6/20,AK,A,0,6,4,599
4/7/20,AK,A,0,22,1,30
4/8/20,AK,A,1,13,2,155
4/9/20,AK,A,0,9,2,155
4/10/20,AK,A,0,11,0,209
4/11/20,AK,A,1,11,2,300
4/12/20,AK,A,0,15,1,306
4/13/20,AK,A,0,5,0,-208
4/14/20,AK,A,1,8,0,518
4/15/20,AK,A,0,8,0,316
4/16/20,AK,A,0,7,3,71
4/17/20,AK,A,0,9,1,715
4/18/20,AK,A,0,5,0,205
4/19/20,AK,A,0,5,0,240
4/20/20,AK,A,0,2,0,229
4/21/20,AK,A,0,8,0,995
4/22/20,AK,A,0,6,0,1040
4/23/20,AK,A,0,2,0,2
4/24/20,AK,A,0,2,0,120
4/25/20,AK,B,0,0,0,3451
4/26/20,AK,B,0,2,0,445
4/27/20,AK,B,0,4,0,79
4/28/20,AK,B,0,6,1,833
4/29/20,AK,B,0,4,0,2030
4/30/20,AK,C,0,0,0,0
5/1/20,AK,C,0,9,1,1206
5/2/20,AK,C,0,1,0,1074
5/3/20,AK,C,0,3,0,179
5/4/20,AK,C,0,2,0,145
5/5/20,AK,C,0,1,1,969
5/6/20,AK,C,1,1,1,963
5/7/20,AK,C,0,2,0,686
5/8/20,AK,C,0,3,0,1132
5/9/20,AK,C,0,1,0,976
5/10/20,AK,C,0,1,0,915
5/11/20,AK,C,0,2,0,1316
5/12/20,AK,B,0,2,0,1281
5/13/20,AK,B,0,1,0,688
5/14/20,AK,B,0,5,1,1113
5/15/20,AK,B,0,1,1,656
5/16/20,AK,B,0,4,2,863
5/17/20,AK,B,0,4,1,1370
5/18/20,AK,B,0,3,0,960
5/19/20,AK,B,0,0,0,769
5/20/20,AK,C,0,3,0,665
5/21/20,AK,C,0,0,1,2500
5/22/20,AK,C,0,2,2,1901
5/23/20,AK,C,0,4,0,905
5/24/20,AK,C,0,0,0,1156
5/25/20,AK,C,0,1,0,965
5/26/20,AK,C,0,2,0,492
5/27/20,AK,C,0,1,0,1399
5/28/20,AK,B,0,13,0,1607
5/29/20,AK,A,0,5,1,1469
5/30/20,AK,A,0,3,0,2256
5/31/20,AK,A,0,28,0,0
6/1/20,AK,A,0,7,0,2495
6/2/20,AK,A,0,20,1,2013
6/3/20,AK,A,0,18,1,1979
6/4/20,AK,A,0,10,0,1915
6/5/20,AK,A,0,11,1,893
6/6/20,AK,A,0,12,0,2911
6/7/20,AK,B,0,8,0,1003
6/8/20,AK,B,0,18,0,1008
6/9/20,AK,A,1,11,0,978
6/10/20,AK,A,0,20,0,830
6/11/20,AK,A,0,18,1,1291
6/12/20,AK,A,1,14,1,1869
6/13/20,AK,A,0,26,1,923
6/14/20,AK,A,0,9,1,1664
6/15/20,AK,A,0,3,3,970
6/16/20,AK,A,0,13,1,1778
6/17/20,AK,A,0,20,0,1494
6/18/20,AK,A,0,12,0,3476
6/19/20,AK,A,0,16,2,2446
6/20/20,AK,A,0,21,2,3287
6/21/20,AK,A,0,11,0,1133
6/22/20,AK,A,0,6,0,2773
6/23/20,AK,A,0,16,1,2123
6/24/20,AK,A,0,14,1,3149
6/25/20,AK,A,0,24,0,3356
6/26/20,AK,A,2,18,0,2340
6/27/20,AK,A,0,19,0,3789
6/28/20,AK,A,0,29,1,2719
6/29/20,AK,A,0,21,0,409
6/30/20,AK,A,0,36,0,3476
7/1/20,AK,A,0,38,0,2215
7/2/20,AK,A,0,38,0,1509
7/3/20,AK,A,1,45,1,4299
7/4/20,AK,A,1,49,2,2524
7/5/20,AK,A,0,27,4,1021
7/6/20,AK,A,0,27,3,0
7/7/20,AK,A,1,18,2,7667
7/8/20,AK,A,0,40,4,1981
7/9/20,AK,A,0,47,3,2343
7/10/20,AK,A,0,50,3,6187
7/11/20,AK,A,0,63,3,1445
7/12/20,AK,A,0,92,2,2099
7/13/20,AK,A,0,59,1,1115
7/14/20,AK,A,0,43,2,2883
7/15/20,AK,A,0,51,4,6620
7/16/20,AK,A,0,64,1,6929
7/17/20,AK,A,0,42,2,2392
7/18/20,AK,A,1,62,2,2949
7/19/20,AK,A,0,83,3,4647
7/20/20,AK,A,0,73,1,2576
7/21/20,AK,A,0,90,2,3040
7/22/20,AK,A,1,94,5,6707
7/23/20,AK,A,0,64,6,4176
7/24/20,AK,A,0,57,2,11063
7/25/20,AK,A,1,88,6,4494
7/26/20,AK,A,0,185,3,2198
7/27/20,AK,A,1,94,3,0
7/28/20,AK,A,1,108,5,6611
7/29/20,AK,A,0,68,2,9789
7/30/20,AK,A,1,84,2,1393
7/31/20,AK,A,0,106,4,8049
8/1/20,AK,A,1,144,2,5527
8/2/20,AK,A,0,136,1,4457
8/3/20,AK,A,1,58,2,2717
8/4/20,AK,A,0,61,2,6842
8/5/20,AK,A,0,55,3,4630
8/6/20,AK,A,0,40,3,4293
8/7/20,AK,A,0,55,3,7279
8/8/20,AK,A,1,79,5,4742
8/9/20,AK,A,0,97,4,4326
8/10/20,AK,A,0,68,4,2424
8/11/20,AK,A,0,49,1,10401
8/12/20,AK,A,1,61,5,1838
8/13/20,AK,A,0,82,5,1471
8/14/20,AK,A,0,100,2,1876
8/15/20,AK,A,1,84,4,748
8/16/20,AK,A,0,101,6,4838
8/17/20,AK,A,0,50,3,4133
8/18/20,AK,A,1,66,2,4361
8/19/20,AK,A,0,73,6,840
8/20/20,AK,A,0,83,4,1798
8/21/20,AK,A,1,69,2,8888
8/22/20,AK,A,1,88,3,4752
8/23/20,AK,A,1,66,2,1153
8/24/20,AK,A,0,71,3,3063
