State,Abbr,month,civ_death,civ_cases,civ_hosp,civ_tests
Alaska,AK,1,56,7137,182,224575
Alaska,AK,3,3,128,12,3713
Alaska,AK,4,6,227,26,15406
Alaska,AK,5,1,108,12,32576
Alaska,AK,6,4,481,18,60490
Alaska,AK,7,9,2049,83,120921
Alaska,AK,8,14,2293,90,115524
Alaska,AK,9,19,2603,74,108577
Alaska,AK,10,26,7423,140,147000
Alaska,AK,11,39,16011,270,407189
Alaska,AK,12,85,14138,298,264354
Alabama,AL,1,2861,98413,7675,0
Alabama,AL,3,13,981,0,0
Alabama,AL,4,256,6038,978,0
Alabama,AL,5,362,10884,866,0
Alabama,AL,6,319,20142,925,0
Alabama,AL,7,630,49678,7752,0
Alabama,AL,8,602,38335,3746,0
Alabama,AL,9,358,28643,2990,0
Alabama,AL,10,427,37584,3193,0
Alabama,AL,11,611,57239,4888,0
Alabama,AL,12,1249,111702,8846,0
Arkansas,AR,1,1192,70130,2252,380050
Arkansas,AR,3,8,523,0,6482
Arkansas,AR,4,53,2732,402,41897
Arkansas,AR,5,72,3998,309,81136
Arkansas,AR,6,137,13524,702,181688
Arkansas,AR,7,183,21734,1439,191514
Arkansas,AR,8,344,18713,1361,224318
Arkansas,AR,9,572,22473,1141,302682
Arkansas,AR,10,556,28493,1684,317255
Arkansas,AR,11,577,45169,1899,336485
Arkansas,AR,12,1174,67779,2421,368031
Arizona,AZ,1,4256,238197,15507,1638982
Arizona,AZ,3,24,1287,530,27999
Arizona,AZ,4,296,6359,1403,65390
Arizona,AZ,5,586,12288,1442,217273
Arizona,AZ,6,726,59279,1357,449170
Arizona,AZ,7,2062,94795,6524,569004
Arizona,AZ,8,1335,27825,10145,425329
Arizona,AZ,9,621,16672,714,439302
Arizona,AZ,10,329,27439,-627,636052
Arizona,AZ,11,660,80871,4294,973575
Arizona,AZ,12,2225,193390,11471,1256676
California,CA,1,15311,997969,0,9423536
California,CA,3,153,7429,0,29254
California,CA,4,1829,41435,0,596083
California,CA,5,2231,61666,0,1319511
California,CA,6,1767,118149,0,2222291
California,CA,7,3025,264856,0,3643902
California,CA,8,3928,210497,0,3562264
California,CA,9,2859,106540,0,3331897
California,CA,10,1834,111380,0,3897115
California,CA,11,1515,290963,0,5422854
California,CA,12,6245,1032411,0,8830311
Colorado,CO,1,823,62082,3235,0
Colorado,CO,3,69,2964,509,0
Colorado,CO,4,708,12318,2188,0
Colorado,CO,5,668,11094,1650,0
