name,state,staff_tests,total_staff_cases,staff_recovered,total_staff_deaths,prisoner_tests,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,as_of_date,year,month,region
Alabama,AL,568.0,951.0,800.0,3.0,14694.0,1369.0,1198.0,60.0,2021-01-25,2021.0,1.0,South
Alabama,AL,568.0,804.0,529.0,2.0,12671.0,1161.0,1003.0,54.0,2020-12-28,2020.0,12.0,South
Alabama,AL,568.0,667.0,439.0,2.0,7032.0,855.0,735.0,34.0,2020-11-30,2020.0,11.0,South
Alabama,AL,568.0,455.0,388.0,2.0,5339.0,532.0,416.0,27.0,2020-10-26,2020.0,10.0,South
Alabama,AL,568.0,398.0,363.0,2.0,2079.0,415.0,377.0,23.0,2020-09-28,2020.0,9.0,South
Alabama,AL,568.0,353.0,276.0,2.0,1726.0,336.0,304.0,19.0,2020-08-25,2020.0,8.0,South
Alabama,AL,568.0,291.0,166.0,2.0,736.0,199.0,114.0,15.0,2020-07-28,2020.0,7.0,South
Alabama,AL,568.0,166.0,84.0,1.0,329.0,68.0,18.0,7.0,2020-06-30,2020.0,6.0,South
Alabama,AL,568.0,55.0,10.0,0.0,152.0,11.0,8.0,1.0,2020-05-26,2020.0,5.0,South
Alabama,AL,568.0,13.0,10.0,0.0,78.0,4.0,8.0,1.0,2020-04-28,2020.0,4.0,South
Alabama,AL,568.0,2.0,10.0,0.0,17.0,0.0,8.0,0.0,2020-03-31,2020.0,3.0,South
Alaska,AK,,268.0,11.0,0.0,19858.0,2294.0,2.0,5.0,2021-01-25,2021.0,1.0,West
Alaska,AK,,216.0,11.0,0.0,15996.0,1966.0,2.0,5.0,2020-12-28,2020.0,12.0,West
Alaska,AK,,111.0,11.0,0.0,10724.0,644.0,2.0,1.0,2020-11-24,2020.0,11.0,West
Alaska,AK,,52.0,11.0,0.0,7523.0,186.0,2.0,0.0,2020-10-27,2020.0,10.0,West
Alaska,AK,,32.0,11.0,0.0,5741.0,65.0,2.0,0.0,2020-09-29,2020.0,9.0,West
Alaska,AK,,31.0,11.0,0.0,4082.0,39.0,2.0,0.0,2020-08-26,2020.0,8.0,West
Alaska,AK,,15.0,11.0,0.0,2345.0,17.0,2.0,0.0,2020-07-28,2020.0,7.0,West
Alaska,AK,,11.0,11.0,0.0,722.0,2.0,2.0,0.0,2020-06-23,2020.0,6.0,West
Alaska,AK,,11.0,11.0,0.0,500.0,2.0,2.0,0.0,2020-05-27,2020.0,5.0,West
Alaska,AK,,8.0,11.0,0.0,211.0,1.0,2.0,0.0,2020-04-29,2020.0,4.0,West
Alaska,AK,,0.0,11.0,0.0,4.0,0.0,2.0,0.0,2020-03-26,2020.0,3.0,West
Arizona,AZ,,2429.0,1911.0,1.0,43447.0,9547.0,7563.0,47.0,2021-01-26,2021.0,1.0,West
Arizona,AZ,,1769.0,1441.0,1.0,42749.0,6415.0,4723.0,34.0,2020-12-29,2020.0,12.0,West
Arizona,AZ,,996.0,824.0,1.0,41870.0,2954.0,2627.0,28.0,2020-11-24,2020.0,11.0,West
Arizona,AZ,,758.0,716.0,1.0,40937.0,2636.0,2593.0,28.0,2020-10-27,2020.0,10.0,West
Arizona,AZ,,701.0,691.0,1.0,40036.0,2586.0,2525.0,28.0,2020-09-29,2020.0,9.0,West
Arizona,AZ,,673.0,638.0,1.0,24156.0,1880.0,876.0,26.0,2020-08-25,2020.0,8.0,West
Arizona,AZ,,520.0,441.0,1.0,5227.0,824.0,397.0,16.0,2020-07-28,2020.0,7.0,West
Arizona,AZ,,226.0,149.0,1.0,3432.0,421.0,218.0,9.0,2020-06-30,2020.0,6.0,West
Arizona,AZ,,75.0,59.0,0.0,1071.0,183.0,52.0,7.0,2020-05-27,2020.0,5.0,West
Arizona,AZ,,52.0,59.0,0.0,210.0,50.0,52.0,2.0,2020-04-29,2020.0,4.0,West
Arizona,AZ,,52.0,59.0,0.0,15.0,0.0,52.0,0.0,2020-03-26,2020.0,3.0,West
Arkansas,AR,5114.0,813.0,381.0,4.0,19960.0,10905.0,10791.0,52.0,2021-01-26,2021.0,1.0,South
Arkansas,AR,5114.0,813.0,381.0,3.0,19960.0,10579.0,9969.0,50.0,2020-12-29,2020.0,12.0,South
Arkansas,AR,5114.0,780.0,381.0,2.0,19732.0,8786.0,8331.0,48.0,2020-11-24,2020.0,11.0,South
Arkansas,AR,5114.0,780.0,381.0,2.0,18480.0,7529.0,6904.0,48.0,2020-10-27,2020.0,10.0,South
Arkansas,AR,5114.0,780.0,381.0,2.0,17400.0,6422.0,5841.0,42.0,2020-09-29,2020.0,9.0,South
Arkansas,AR,5067.0,396.0,374.0,1.0,16143.0,5194.0,4675.0,38.0,2020-08-25,2020.0,8.0,South
Arkansas,AR,2878.0,309.0,221.0,1.0,8763.0,3851.0,3007.0,27.0,2020-07-28,2020.0,7.0,South
Arkansas,AR,2203.0,218.0,184.0,1.0,7037.0,2487.0,1886.0,13.0,2020-06-30,2020.0,6.0,South
Arkansas,AR,808.0,135.0,101.0,1.0,2713.0,1251.0,910.0,8.0,2020-05-27,2020.0,5.0,South
Arkansas,AR,647.0,95.0,101.0,0.0,1855.0,923.0,910.0,0.0,2020-04-28,2020.0,4.0,South
Arkansas,AR,0.0,0.0,101.0,0.0,0.0,0.0,910.0,0.0,2020-03-26,2020.0,3.0,South
California,CA,,15012.0,13676.0,22.0,116347.0,46595.0,43309.0,187.0,2021-01-26,2021.0,1.0,West
California,CA,,11706.0,7732.0,11.0,115673.0,38398.0,29809.0,120.0,2020-12-29,2020.0,12.0,West
California,CA,,5903.0,4473.0,10.0,110344.0,19479.0,16181.0,85.0,2020-11-25,2020.0,11.0,West
California,CA,,4317.0,3668.0,10.0,100145.0,15620.0,14615.0,76.0,2020-10-27,2020.0,10.0,West
California,CA,,3644.0,2783.0,9.0,93407.0,14223.0,11712.0,67.0,2020-09-29,2020.0,9.0,West
California,CA,,2718.0,1472.0,9.0,83324.0,10163.0,8404.0,57.0,2020-08-25,2020.0,8.0,West
California,CA,,1665.0,689.0,3.0,65843.0,7706.0,5790.0,47.0,2020-07-28,2020.0,7.0,West
California,CA,,847.0,370.0,2.0,40753.0,4939.0,2226.0,22.0,2020-06-30,2020.0,6.0,West
California,CA,,272.0,142.0,0.0,11831.0,1216.0,272.0,9.0,2020-05-27,2020.0,5.0,West
California,CA,,137.0,142.0,0.0,1220.0,205.0,272.0,1.0,2020-04-29,2020.0,4.0,West
California,CA,,9.0,142.0,0.0,166.0,1.0,272.0,0.0,2020-03-26,2020.0,3.0,West
Colorado,CO,,1453.0,190.0,0.0,150662.0,8147.0,987.0,27.0,2021-01-26,2021.0,1.0,West
Colorado,CO,,1239.0,190.0,0.0,127291.0,7125.0,987.0,24.0,2020-12-29,2020.0,12.0,West
Colorado,CO,,725.0,190.0,0.0,84678.0,3535.0,987.0,7.0,2020-11-24,2020.0,11.0,West
Colorado,CO,,294.0,190.0,0.0,50385.0,1407.0,987.0,4.0,2020-10-27,2020.0,10.0,West
Colorado,CO,,153.0,144.0,0.0,34985.0,892.0,886.0,3.0,2020-09-29,2020.0,9.0,West
Colorado,CO,,124.0,119.0,0.0,27290.0,883.0,871.0,3.0,2020-08-25,2020.0,8.0,West
Colorado,CO,,91.0,78.0,0.0,16452.0,841.0,691.0,3.0,2020-07-28,2020.0,7.0,West
