"","Facility","Name","State","Date","Residents.Confirmed","Staff.Confirmed","Resident.Deaths","Staff.Deaths","Residents.Recovered","Staff.Recovered","Residents.Tested","Staff.Tested","Residents.Pending","Staff.Pending","Residents.Negative","Staff.Negative","Residents.Quarantine","Staff.Quarantine","hifld_id","Count.ID","Population_HIFLD","Population.Source"
"1","Prison","STATEWIDE","Arkansas",2020-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"2","Prison","STATEWIDE","Arkansas",2020-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"3","Prison","STATEWIDE","Arkansas",2020-04-02,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"4","Prison","STATEWIDE","Arkansas",2020-04-03,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"5","Prison","STATEWIDE","Arkansas",2020-04-04,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"6","Prison","STATEWIDE","Arkansas",2020-04-05,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"7","Prison","STATEWIDE","Arkansas",2020-04-06,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"8","Prison","STATEWIDE","Arkansas",2020-04-07,"0","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"9","Prison","STATEWIDE","Arkansas",2020-04-08,"0","6","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"10","Prison","STATEWIDE","Arkansas",2020-04-09,"0","6","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
