"","Facility","Name","State","Date","Residents.Confirmed","Staff.Confirmed","Resident.Deaths","Staff.Deaths","Residents.Recovered","Staff.Recovered","Residents.Tested","Staff.Tested","Residents.Pending","Staff.Pending","Residents.Negative","Staff.Negative","Residents.Quarantine","Staff.Quarantine","hifld_id","Count.ID","Population_HIFLD","Population.Source"
"1","Prison","STATEWIDE","New Mexico",2020-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"2","Prison","STATEWIDE","New Mexico",2020-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"3","Prison","STATEWIDE","New Mexico",2020-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"4","Prison","STATEWIDE","New Mexico",2020-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"5","Prison","STATEWIDE","New Mexico",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"6","Prison","STATEWIDE","New Mexico",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"7","Prison","STATEWIDE","New Mexico",2020-04-06,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"8","Prison","STATEWIDE","New Mexico",2020-04-07,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"9","Prison","STATEWIDE","New Mexico",2020-04-08,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"10","Prison","STATEWIDE","New Mexico",2020-04-09,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"11","Prison","STATEWIDE","New Mexico",2020-04-10,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"12","Prison","STATEWIDE","New Mexico",2020-04-11,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"13","Prison","STATEWIDE","New Mexico",2020-04-12,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"14","Prison","STATEWIDE","New Mexico",2020-04-13,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"15","Prison","STATEWIDE","New Mexico",2020-04-14,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"16","Prison","STATEWIDE","New Mexico",2020-04-15,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"17","Prison","STATEWIDE","New Mexico",2020-04-16,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"18","Prison","STATEWIDE","New Mexico",2020-04-17,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"19","Prison","STATEWIDE","New Mexico",2020-04-18,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"20","Prison","STATEWIDE","New Mexico",2020-04-19,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"21","Prison","STATEWIDE","New Mexico",2020-04-20,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"22","Prison","STATEWIDE","New Mexico",2020-04-21,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"23","Prison","STATEWIDE","New Mexico",2020-04-22,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"24","Prison","STATEWIDE","New Mexico",2020-04-23,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"25","Prison","STATEWIDE","New Mexico",2020-04-24,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"26","Prison","STATEWIDE","New Mexico",2020-04-25,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"27","Prison","STATEWIDE","New Mexico",2020-04-26,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"28","Prison","STATEWIDE","New Mexico",2020-04-27,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"29","Prison","STATEWIDE","New Mexico",2020-04-28,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"30","Prison","STATEWIDE","New Mexico",2020-04-29,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"31","Prison","STATEWIDE","New Mexico",2020-04-30,"0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"32","Prison","STATEWIDE","New Mexico",2020-05-01,"0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"33","Prison","STATEWIDE","New Mexico",2020-05-02,"0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"34","Prison","STATEWIDE","New Mexico",2020-05-03,"0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"35","Prison","STATEWIDE","New Mexico",2020-05-04,"0","4","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
"36","Prison","STATEWIDE","New Mexico",2020-05-05,"0","4","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,NA,"HIFLD Prison Dataset"
