"","Facility","Name","State","Date","Residents.Confirmed","Staff.Confirmed","Resident.Deaths","Staff.Deaths","Residents.Recovered","Staff.Recovered","Residents.Tested","Staff.Tested","Residents.Pending","Staff.Pending","Residents.Negative","Staff.Negative","Residents.Quarantine","Staff.Quarantine","hifld_id","Count.ID","Resident.Population","Population_HIFLD","Population.Source"
"1","Prison","STATEWIDE","Pennsylvania",2020-03-31,"1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023,NA,NA,"State COVID Dashboard/HIFLD Prison Dataset"
"2","Prison","STATEWIDE","Pennsylvania",2020-04-01,"2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023,NA,NA,"State COVID Dashboard/HIFLD Prison Dataset"
"3","Prison","STATEWIDE","Pennsylvania",2020-04-02,"2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023,NA,NA,"State COVID Dashboard/HIFLD Prison Dataset"
"4","Prison","STATEWIDE","Pennsylvania",2020-04-03,"4","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023,NA,NA,"State COVID Dashboard/HIFLD Prison Dataset"
"5","Prison","CENTRAL OFFICE","Pennsylvania",2020-04-04,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001,NA,NA,"State COVID Dashboard/HIFLD Prison Dataset"
"6","Prison","ALBION","Pennsylvania",2020-04-04,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000709,997,NA,2287,"State COVID Dashboard/HIFLD Prison Dataset"
"7","Prison","BENNER TOWNSHIP","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10006363,998,NA,2111,"State COVID Dashboard/HIFLD Prison Dataset"
"8","Prison","CAMBRIDGE SPRINGS","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003048,999,NA,1211,"State COVID Dashboard/HIFLD Prison Dataset"
"9","Prison","CAMP HILL","Pennsylvania",2020-04-04,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000733,1000,NA,3484,"State COVID Dashboard/HIFLD Prison Dataset"
"10","Prison","CHESTER","Pennsylvania",2020-04-04,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003117,1002,NA,1271,"State COVID Dashboard/HIFLD Prison Dataset"
