Bureau of Justice Statistics,,,,,,,,,,,
Filename: p19t01.csv,,,,,,,,,,,
"Table 1. Prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2009-2019",,,,,,,,,,,
Report title: Prisoners in 2019  NCJ 255115,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2009-2019",,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 10/22/2020,,,,,,,,,,,
,,,,,,,,,,,
"Table 1. Prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2009-2019",,,,,,,,,,,
Year/a,,Total,,Federal/b,,State,,Male,,Female,
2009,,"1,615,487",,"208,118",,"1,407,369",,"1,502,002",,"113,485",
2010,,"1,613,803",,"209,771",,"1,404,032",,"1,500,936",,"112,867",
2011,,"1,598,968",,"216,362",,"1,382,606",,"1,487,561",,"111,407",
2012,,"1,570,397",,"217,815",,"1,352,582",,"1,461,625",,"108,772",
2013,,"1,576,950",,"215,866",,"1,361,084",,"1,465,592",,"111,358",
2014,,"1,562,319",,"210,567",,"1,351,752",,"1,449,291",,"113,028",
2015,,"1,526,603",,"196,455",,"1,330,148",,"1,415,112",,"111,491",
2016,,"1,508,129",,"189,192",,"1,318,937",,"1,396,296",,"111,833",
2017,,"1,489,189",,"183,058",,"1,306,131",,"1,377,815",,"111,374",
2018,,"1,464,385",,"179,898",,"1,284,487",,"1,353,595",,"110,790",
2019,,"1,430,805",,"175,116",,"1,255,689",,"1,322,850",,"107,955",
Percent change,,,,,,,,,,,
,2009-2019,-11.4,%,-15.9,%,-10.8,%,-11.9,%,-4.9,%
,2018-2019,-2.3,,-2.7,,-2.2,,-2.3,,-2.6,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are for December 31 of each year. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,
"a/Total and state counts for 2018 and 2019 include imputed counts for Oregon, which did not submit 2018 or 2019 National Prisoner Statistics data. See Methodology. Counts for 2018 and earlier may have been revised based on more recent reporting by states, and may differ from numbers in past reports.",,,,,,,,,,,
b/Includes adult prisoners held in non-secure community-corrections facilities and adults and persons age 17 or younger held in privately operated facilities.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2009-2019.",,,,,,,,,,,
