Bureau of Justice Statistics,,,,,,,,,
Filename: csfcf05at01,,,,,,,,,
"Appendix table 1. Number of correctional facilities and inmates under state or federal authority, population change, and number of inmates per 100,000 U.S. residents, June 30, 2000, and December 30, 2005",,,,,,,,,
"Report title:  Census of State and Federal Correctional Facilities, 2005 NCJ 222182",,,,,,,,,
"Data sources: Censuses of State and Federal Correctional Facilities, 2000 and 2005",,,,,,,,,
Author:  James J. Stephan ,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,,,,
Date of version:  9/30/2008,,,,,,,,,

"Appendix table 1. Number of correctional facilities and inmates under state or federal authority, population change, and number of inmates per 100,000 U.S. residents, June 30, 2000, and December 30, 2005",,,,,,,,,

,,Number of facilities ,,Number of inmates held,,,,"Inmates per 100,000 U.S. residents",
Region and authority ,,2000,2005,2000,2005,"Population change, 2000-2005",,2000,2005
U.S. total,,"1,668","1,821","1,305,253","1,430,208",9.6,%,464,480
,Public/a,"1,404","1,406","1,212,176","1,321,685",9,,431,444
,Private,264,415,"93,077","108,523",16.6,,33,36
,Federal,84,102,"110,974","145,780",31.4,,39,49
,State/b,"1,584","1,719","1,194,279","1,284,428",7.5,,424,431
Region (excluding federal),,,,,,,,,
Northeast,,236,268,"171,999","171,465",-0.3,%,321,314
,Connecticut,20,49,"16,984","19,019",12,,499,541
,Maine,8,7,"1,629","1,968",20.8,,128,149
,Massachusetts,25,17,"10,500","10,262",-2.3,,165,161
,New Hampshire,8,8,"2,277","2,373",4.2,,184,180
,New Jersey,43,42,"27,118","25,724",-5.1,,322,294
,New York,72,77,"71,938","63,855",-11.2,,379,332
,Pennsylvania,44,52,"36,895","43,254",17.2,,300,348
,Rhode Island,7,7,"3,347","3,414",2,,319,318
,Vermont,9,9,"1,311","1,596",21.7,,215,256
Midwest,,301,342,"233,993","255,134",9,%,363,386
,Illinois/c,48,44,"44,150","44,669",1.2,,355,349
,Indiana,25,23,"18,195","23,205",27.5,,299,369
,Iowa,30,31,"9,086","10,145",11.7,,310,341
,Kansas,11,13,"8,992","9,474",5.4,,334,344
,Michigan,70,62,"47,639","50,082",5.1,,479,495
,Minnesota,9,18,"7,451","9,680",29.9,,151,188
,Missouri,28,28,"27,963","31,748",13.5,,500,545
,Nebraska,9,9,"3,508","4,371",24.6,,205,248
,North Dakota,3,8,992,"1,411",42.2,,154,221
,Ohio,34,59,"47,915","44,717",-6.7,,422,390
,South Dakota,4,6,"2,591","3,451",33.2,,343,443
,Wisconsin,30,41,"15,511","22,181",43,,289,400
South,,743,779,"518,912","561,927",8.3,%,518,519
,Alabama,36,33,"22,422","23,174",3.4,,504,507
,Arkansas,15,26,"10,465","13,921",33,,391,499
,Delaware,9,12,"6,023","6,781",12.6,,769,798
,District of Columbia/d,8,5,"3,767",300,-92,,658,55
,Florida,106,109,"71,616","86,705",21.1,,448,482
,Georgia,84,87,"44,299","51,822",17,,541,567
,Kentucky,25,25,"12,378","14,932",20.6,,306,357
,Louisiana,17,23,"19,167","20,344",6.1,,429,449
,Maryland,26,29,"22,821","22,613",-0.9,,431,402
,Mississippi,28,31,"14,823","16,967",14.5,,521,579
,North Carolina,80,88,"30,708","38,233",24.5,,381,437
,Oklahoma,52,53,"23,858","25,149",5.4,,691,705
,South Carolina,34,33,"21,277","22,537",5.9,,530,526
,Tennessee,15,19,"18,368","19,484",6.1,,323,325
,Texas,136,132,"162,440","163,556",0.7,,779,709
,Virginia,61,59,"31,412","31,478",0.2,,444,413
,West Virginia,11,15,"3,068","3,931",28.1,,170,216
West,,304,330,"269,375","295,902",9.8,%,426,430
,Alaska,24,21,"3,248","4,146",27.6,,518,618
,Arizona,18,21,"30,832","32,855",6.6,,601,545
,California,92,100,"163,383","169,988",4,,482,468
,Colorado,48,58,"15,695","20,842",32.8,,365,444
,Hawaii,10,10,"3,761","3,951",5.1,,310,304
,Idaho,13,15,"3,961","5,975",50.8,,306,413
,Montana,8,11,"2,368","3,160",33.4,,262,336
,Nevada,20,22,"9,296","11,726",26.1,,465,477
,New Mexico,10,11,"5,158","7,183",39.3,,284,369
,Oregon,13,15,"9,933","13,049",31.4,,290,356
,Utah,9,7,"4,872","5,461",12.1,,218,219
,Washington,30,32,"14,682","16,146",10,,249,255
,Wyoming,9,7,"2,186","1,420",-35,,443,278
"Note: Unless stated otherwise, numbers for 2000 are as of June 30, and numbers for 2005 are as of December 30.",,,,,,,,,
a/Includes facilities operated by both federal and state authorities.,,,,,,,,,
b/Includes private facilities.,,,,,,,,,
c/2005 data are as of June 30.,,,,,,,,,
"d/As of December 30, 2001, sentenced felons from the District of Columbia were the reponsibility of the Federal Bureau of Prisons. Some inmates were housed in private facilities under contract to the District of Columbia on December 30, 2005.",,,,,,,,,
