Bureau of Justice Statistics,,,,,,
Filename: csfcf05at09.csv,,,,,,
"Appendix table 9.  Number of private correctional facilities under contract to state or federal authorities by size, December 30, 2005",,,,,,
"Report title: Census of State and Federal Correctional Facilities, 2005 NCJ 222182",,,,,,
"Data sources: Censuses of State and Federal Correctional Facilities, 2005",,,,,,
Author: James J. Stephan ,,,,,,
Refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,
Date of version:  09/30/08,,,,,,

"Appendix table 9.  Number of private correctional facilities under contract to state or federal authorities, by facility size, December 30, 2005",,,,,,

,,Facility size based on average daily population,,,,
Region and authority,,Fewer than 100,100-499,500-999,"1,000-2,499",2500 or more
U.S. total,,271,75,36,31,2
,Federal,113,10,0,7,2
,State,158,65,36,24,0
Region (excluding federal),,,,,,
Northeast,,50,9,2,0,0
,Connecticut,29,1,0,0,0
,Maine,0,0,0,0,0
,Massachusetts,0,0,0,0,0
,New Hampshire,0,0,0,0,0
,New Jersey,15,4,2,0,0
,New York,0,0,0,0,0
,Pennsylvania,6,4,0,0,0
,Rhode Island,0,0,0,0,0
,Vermont,0,0,0,0,0
Midwest,,34,10,3,1,0
,Illinois,2,1,0,0,0
,Indiana,1,0,0,0,0
,Iowa,0,0,0,0,0
,Kansas,1,1,0,0,0
,Michigan,3,0,0,0,0
,Minnesota,5,0,1,0,0
,Missouri,0,0,0,0,0
,Nebraska,0,0,0,0,0
,North Dakota,3,0,0,0,0
,Ohio,17,8,2,1,0
,South Dakota,0,0,0,0,0
,Wisconsin,2,0,0,0,0
South,,33,20,20,19,0
,Alabama,0,0,0,0,0
,Arkansas,0,0,0,0,0
,Delaware,0,0,0,0,0
,District of Columbia*,4,1,0,0,0
,Florida,7,3,3,2,0
,Georgia,0,0,0,3,0
,Kentucky,7,3,2,0,0
,Louisiana,4,2,0,2,0
,Maryland,4,0,0,0,0
,Mississippi,0,0,5,1,0
,North Carolina,3,0,0,0,0
,Oklahoma,3,6,3,2,0
,South Carolina,0,0,0,0,0
,Tennessee,0,0,0,3,0
,Texas,0,5,7,5,0
,Virginia,1,0,0,1,0
,West Virginia,0,0,0,0,0
West,,41,26,11,4,0
,Alaska,5,3,0,0,0
,Arizona,0,2,2,0,0
,California,9,4,3,0,0
,Colorado,18,11,3,1,0
,Hawaii,2,0,0,0,0
,Idaho,0,0,0,1,0
,Montana,2,5,1,0,0
,Nevada,0,0,0,0,0
,New Mexico,0,0,2,2,0
,Oregon,0,0,0,0,0
,Utah,0,0,0,0,0
,Washington,3,0,0,0,0
,Wyoming,2,1,0,0,0
Note:  Private correctional facilities are staffed and managed by private correctional employees and paid by pubilc authorities through contractual agreements.,,,,,,
"*As of December 30, 2001, sentenced felons from the District of Columbia were  the reponsibility of the Federal Bureau of Prisons. Some inmates were housed in private facilities under contract to the District of Columbia on December 30, 2005.",,,,,,
