Bureau of Justice Statistics,,,,,,,,,,
Filename: csfcf05at13.csv,,,,,,,,,,
"Appendix table 13. Number of employees in correctional facilities under state or federal authority, by occupational category, December 30, 2005",,,,,,,,,,
"Report title: Census of State and Federal Correctional Facilities, 2005 NCJ-222182",,,,,,,,,,
"Data source: Census of State and Federal Correctional Facilities, 2005",,,,,,,,,,
Author:  James J. Stephan,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,
Date of version:  09/30/08,,,,,,,,,,

"Appendix table 13. Number of employees in correctional facilities under state or federal authority, by occupational category, December 30, 2005",,,,,,,,,,

,,,,Correctional employees,,,,,,
Region and authority,,Total facilities,Facilities reporting staff,All employees ,Administrators,Correctional officers,Clerical/maintenance/food service,Educational,Professional/technical,Other/Not available
U.S. total (estimated) /a,,,,445055,10769,295261,51993,11526,46016,29489
U.S. total (reported),,"1,821","1,717","419,637","10,154","278,398","49,024","10,868","43,388","27,805"
,Public/b,"1,406","1,317","393,699","8,290","262,718","46,481","9,827","39,618","26,765"
,Private,415,400,"25,938","1,864","15,680","2,543","1,041","3,770","1,040"
,Federal,102,97,"29,755",900,"14,165","6,216",922,"4,855","2,697"
,State/c,"1,719","1,620","389,882","9,254","264,233","42,808","9,946","38,533","25,108"
Region (excluding federal),,,,,,,,,,
Northeast,,268,262,"70,215","1,381","47,544","9,621","2,754","7,715","1,200"
,Connecticut,49,49,"6,402",118,"4,516",708,239,652,169
,Maine,7,7,834,41,572,96,42,83,0
,Massachusetts/d,17,17,"4,057",131,"3,309",297,32,246,42
,New Hampshire,8,8,876,54,545,60,32,145,40
,New Jersey,42,36,"9,277",232,"6,650",686,550,942,217
,New York,77,77,"31,573",565,"21,331","4,820","1,140","3,272",445
,Pennsylvania,52,52,"15,195",175,"9,083","2,845",664,"2,169",259
,Rhode Island,7,7,"1,161",17,947,70,14,109,4
,Vermont,9,9,840,48,591,39,41,97,24
Midwest,,342,338,"85,256","2,702","55,322","12,567","2,580","10,496","1,589"
,Illinois/e,44,40,"14,167",582,"8,771","2,169",658,"1,606",381
,Indiana,23,23,"6,310",227,"4,264",912,177,678,52
,Iowa,31,31,"3,399",131,"2,107",547,37,551,26
,Kansas,13,13,"2,984",108,"1,944",438,32,427,35
,Michigan,62,62,"21,202",191,"15,235","2,839",423,"2,503",11
,Minnesota,18,18,"3,611",110,"2,131",545,130,648,47
,Missouri,28,28,"9,439",156,"5,625","1,791",300,987,580
,Nebraska,9,9,"1,812",89,"1,261",229,25,155,53
,North Dakota,8,8,625,40,394,86,15,88,2
,Ohio,59,59,"13,318",702,"8,167","1,934",447,"1,749",319
,South Dakota,6,6,804,19,473,82,31,195,4
,Wisconsin,41,41,"7,585",347,"4,950",995,305,909,79
South,,779,775,"148,923","3,753","108,036","15,893","3,703","15,385","2,153"
