Region,Design capacity 2000/a,Design capacity 2005/a,Percent of design capacity occupied 2000,Percent of design capacity occupied 2005,Rated capacity 2000,Rated capacity 2005,Percent of rated capacity occupied 2000,Percent of rated capacity occupied 2005,Total_18,Male_18,Female_18,Total_19,Male_19,Female_19,Total number of facilities,Facilities operating one or more work programs,Inmates participating in one or more work programs,Prison industries,Support services,Farming ,Public works,Other work programs ,No work programs,phone_rate_avg,Latitude,Longitude
Alabama,17693.00,12918.00,127.00,179.00,22158.00,22158.00,101.00,0.00,26841.00,24439.00,2402.00,28304.00,25555.00,2749.00,33.00,24.00,28.00,7.00,10.00,6.00,9.00,5.00,7.00,4.50,32.75,-86.75
Alaska,3490.00,3101.00,93.00,134.00,3622.00,4129.00,90.00,100.00,4380.00,4001.00,379.00,4475.00,4049.00,426.00,21.00,18.00,1334.00,3.00,17.00,4.00,9.00,3.00,1.00,3.75,64.00,-150
Arizona,30426.00,30591.00,101.00,107.00,29482.00,34013.00,105.00,97.00,42005.00,37820.00,4185.00,42441.00,38035.00,4406.00,21.00,17.00,20194.00,10.00,15.00,5.00,12.00,4.00,2.00,4.80,34.50,-111.5
Arkansas,10026.00,13913.00,104.00,100.00,10026.00,14673.00,104.00,95.00,17799.00,16396.00,1403.00,17759.00,16188.00,1571.00,26.00,25.00,10739.00,0.00,24.00,2.00,7.00,2.00,1.00,4.80,34.75,-92.5
California,97740.00,95562.00,167.00,178.00,167367.00,120625.00,98.00,141.00,128625.00,122847.00,5778.00,122687.00,117119.00,5568.00,100.00,82.00,77199.00,28.00,44.00,7.00,34.00,29.00,15.00,2.03,37.25,-119.75
Colorado,16543.00,19388.00,95.00,107.00,17882.00,22451.00,88.00,93.00,20372.00,18347.00,2025.00,19785.00,17866.00,1919.00,58.00,36.00,13369.00,15.00,28.00,4.00,12.00,9.00,12.00,2.78,39.00,-105.5
Connecticut,16869.00,16869.00,101.00,0.00,17600.00,18688.00,97.00,102.00,13681.00,12679.00,1002.00,12823.00,11882.00,941.00,49.00,32.00,322.00,4.00,22.00,2.00,4.00,9.00,9.00,4.87,41.62,-72.7028
Delaware,4567.00,5419.00,132.00,125.00,5716.00,6845.00,105.00,99.00,6067.00,5646.00,421.00,5692.00,5313.00,379.00,12.00,12.00,1781.00,2.00,11.00,2.00,3.00,1.00,0.00,2.55,38.67,-75.4165
Florida,56402.00,87861.00,127.00,99.00,75619.00,67915.00,95.00,128.00,97538.00,90812.00,6726.00,96009.00,89381.00,6628.00,109.00,105.00,68175.00,14.00,101.00,29.00,66.00,4.00,3.00,2.10,28.42,-81.55
Georgia,44289.00,51380.00,100.00,101.00,45552.00,53162.00,97.00,97.00,53647.00,49708.00,3939.00,54816.00,50798.00,4018.00,87.00,83.00,36774.00,14.00,62.00,14.00,55.00,20.00,2.00,3.70,32.16,-83.4715
Hawaii,2535.00,2625.00,148.00,151.00,3460.00,3581.00,109.00,110.00,5375.00,4716.00,659.00,5279.00,4523.00,756.00,10.00,8.00,1718.00,3.00,7.00,3.00,5.00,1.00,2.00,3.36,20.79,-156.34
Idaho,4431.00,5351.00,89.00,112.00,5233.00,5948.00,76.00,100.00,8664.00,7524.00,1140.00,9437.00,8117.00,1320.00,15.00,13.00,2286.00,4.00,12.00,0.00,6.00,4.00,1.00,2.30,44.07,-114.542
Illinois,28978.00,28978.00,152.00,0.00,33761.00,30797.00,131.00,136.00,39965.00,37627.00,2338.00,38259.00,35995.00,2264.00,44.00,43.00,29544.00,5.00,43.00,0.00,10.00,8.00,1.00,3.59,40.00,-89.25
Indiana,9932.00,18708.00,183.00,124.00,15215.00,25108.00,120.00,92.00,26877.00,24310.00,2567.00,27180.00,24576.00,2604.00,23.00,21.00,17185.00,9.00,19.00,5.00,16.00,6.00,2.00,3.60,40.00,-86.25
Iowa,8234.00,8520.00,110.00,119.00,8484.00,8719.00,107.00,116.00,9419.00,8582.00,837.00,9282.00,8443.00,839.00,31.00,27.00,5944.00,6.00,10.00,6.00,8.00,22.00,2.00,2.34,42.00,-93.5
Kansas,8996.00,9823.00,100.00,96.00,9094.00,9655.00,99.00,98.00,10218.00,9289.00,929.00,10177.00,9267.00,910.00,13.00,12.00,5975.00,6.00,9.00,2.00,9.00,2.00,0.00,2.70,38.50,-98.5
Kentucky,11349.00,14255.00,109.00,105.00,13010.00,15451.00,95.00,97.00,23431.00,20380.00,3051.00,23082.00,20177.00,2905.00,25.00,25.00,9862.00,11.00,23.00,4.00,16.00,6.00,0.00,5.10,37.79,-84.87
Louisiana,18792.00,19395.00,102.00,105.00,19704.00,19415.00,97.00,105.00,32397.00,30649.00,1748.00,31609.00,29920.00,1689.00,23.00,21.00,16469.00,8.00,14.00,13.00,12.00,8.00,2.00,3.82,30.69,-92.241
Maine,1462.00,1801.00,111.00,109.00,1545.00,1837.00,105.00,107.00,2425.00,2188.00,237.00,2185.00,2000.00,185.00,7.00,7.00,1921.00,5.00,5.00,4.00,4.00,1.00,0.00,4.33,45.50,-69.24
Maryland,17517.00,16063.00,130.00,141.00,24466.00,24265.00,93.00,93.00,18856.00,18033.00,823.00,18595.00,17864.00,731.00,29.00,24.00,13825.00,11.00,23.00,0.00,12.00,4.00,2.00,4.07,39.44,-77.0834
Massachusetts,9611.00,8610.00,109.00,119.00,12096.00,10980.00,87.00,93.00,8692.00,8168.00,524.00,8205.00,7904.00,301.00,17.00,16.00,2987.00,10.00,16.00,1.00,8.00,2.00,0.00,1.93,42.36,-72.1839
Michigan,49341.00,49341.00,97.00,0.00,48190.00,50674.00,99.00,99.00,38761.00,36680.00,2081.00,38053.00,36024.00,2029.00,62.00,56.00,28519.00,15.00,51.00,7.00,22.00,11.00,2.00,3.00,43.10,-84.6165
Minnesota,8175.00,9184.00,91.00,105.00,8175.00,9979.00,91.00,97.00,10101.00,9402.00,699.00,9982.00,9317.00,665.00,18.00,13.00,6608.00,8.00,12.00,1.00,6.00,3.00,4.00,3.60,46.25,-94.25
Mississippi,17690.00,18222.00,84.00,93.00,17238.00,18229.00,86.00,93.00,19275.00,17886.00,1389.00,19417.00,18034.00,1383.00,31.00,29.00,10723.00,3.00,13.00,3.00,19.00,0.00,0.00,3.68,33.50,-89.8071
Missouri,25370.00,26153.00,110.00,121.00,29815.00,32401.00,94.00,98.00,30369.00,27255.00,3114.00,26044.00,23643.00,2401.00,28.00,23.00,23769.00,13.00,21.00,2.00,16.00,7.00,3.00,1.75,38.25,-92.5
Montana,1930.00,2332.00,123.00,136.00,2436.00,3118.00,97.00,101.00,3765.00,3318.00,447.00,4723.00,4175.00,548.00,11.00,9.00,1669.00,1.00,5.00,1.00,1.00,6.00,2.00,2.04,47.00,-109.75
Nebraska,2303.00,3115.00,152.00,140.00,3419.00,3419.00,103.00,0.00,5491.00,5061.00,430.00,5682.00,5254.00,428.00,9.00,9.00,870.00,6.00,8.00,1.00,3.00,2.00,0.00,1.14,41.50,-99.75
Nevada,9055.00,11082.00,103.00,106.00,9683.00,12191.00,96.00,96.00,13641.00,12349.00,1292.00,12840.00,11601.00,1239.00,22.00,21.00,6126.00,10.00,16.00,2.00,11.00,11.00,0.00,2.53,39.25,-116.75
New Hampshire,2203.00,2402.00,103.00,99.00,2000.00,2177.00,114.00,109.00,2722.00,2491.00,231.00,2691.00,2463.00,228.00,8.00,8.00,1402.00,2.00,5.00,3.00,6.00,5.00,0.00,1.19,43.66,-71.49
