name,state,staff_tests,total_staff_cases,staff_recovered,total_staff_deaths,prisoner_tests,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,as_of_date,year,month,region
Alabama,AL,568.0,951.0,800.0,3.0,14694.0,1369.0,1198.0,60.0,2021-01-25,2021.0,1.0,South
Alabama,AL,568.0,907.0,774.0,3.0,14552.0,1294.0,1138.0,57.0,2021-01-18,2021.0,1.0,South
Alabama,AL,568.0,863.0,550.0,2.0,14447.0,1262.0,1026.0,54.0,2021-01-12,2021.0,1.0,South
Alabama,AL,568.0,863.0,550.0,2.0,14447.0,1262.0,1026.0,54.0,2021-01-05,2021.0,1.0,South
Alabama,AL,568.0,804.0,529.0,2.0,12671.0,1161.0,1003.0,54.0,2020-12-28,2020.0,12.0,South
Alabama,AL,568.0,795.0,518.0,2.0,11111.0,1094.0,979.0,54.0,2020-12-21,2020.0,12.0,South
Alabama,AL,568.0,769.0,502.0,2.0,10805.0,1068.0,944.0,48.0,2020-12-14,2020.0,12.0,South
Alabama,AL,568.0,729.0,479.0,2.0,10584.0,1033.0,782.0,43.0,2020-12-09,2020.0,12.0,South
Alabama,AL,568.0,667.0,439.0,2.0,7032.0,855.0,735.0,34.0,2020-11-30,2020.0,11.0,South
Alabama,AL,568.0,645.0,435.0,2.0,6984.0,834.0,724.0,34.0,2020-11-27,2020.0,11.0,South
Alabama,AL,568.0,582.0,413.0,2.0,6852.0,775.0,519.0,32.0,2020-11-16,2020.0,11.0,South
Alabama,AL,568.0,542.0,408.0,2.0,6783.0,751.0,496.0,32.0,2020-11-11,2020.0,11.0,South
Alabama,AL,568.0,490.0,405.0,2.0,6554.0,711.0,458.0,28.0,2020-11-02,2020.0,11.0,South
Alabama,AL,568.0,455.0,388.0,2.0,5339.0,532.0,416.0,27.0,2020-10-26,2020.0,10.0,South
Alabama,AL,568.0,439.0,384.0,2.0,3270.0,459.0,387.0,27.0,2020-10-19,2020.0,10.0,South
