name,state,staff_tests,total_staff_cases,staff_recovered,total_staff_deaths,prisoner_tests,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,as_of_date,year,month,region
Alabama,AL,0.0,11.0,0.0,0.0,61.0,4.0,0.0,1.0,2020-04-28,2020.0,4.0,South
Alabama,AL,0.0,42.0,0.0,0.0,74.0,7.0,0.0,0.0,2020-05-26,2020.0,5.0,South
Alabama,AL,0.0,111.0,74.0,1.0,177.0,57.0,10.0,6.0,2020-06-30,2020.0,6.0,South
Alabama,AL,0.0,125.0,82.0,1.0,407.0,131.0,96.0,8.0,2020-07-28,2020.0,7.0,South
Alabama,AL,0.0,62.0,110.0,0.0,990.0,137.0,190.0,4.0,2020-08-25,2020.0,8.0,South
Alabama,AL,0.0,45.0,87.0,0.0,353.0,79.0,73.0,4.0,2020-09-28,2020.0,9.0,South
Alabama,AL,0.0,57.0,25.0,0.0,3260.0,117.0,39.0,4.0,2020-10-26,2020.0,10.0,South
Alabama,AL,0.0,212.0,51.0,0.0,1693.0,323.0,319.0,7.0,2020-11-30,2020.0,11.0,South
Alabama,AL,0.0,137.0,90.0,0.0,5639.0,306.0,268.0,20.0,2020-12-28,2020.0,12.0,South
Alabama,AL,0.0,147.0,271.0,1.0,2023.0,208.0,195.0,6.0,2021-01-25,2021.0,1.0,South
Alaska,AK,,8.0,0.0,0.0,207.0,1.0,0.0,0.0,2020-04-29,2020.0,4.0,West
Alaska,AK,,3.0,0.0,0.0,289.0,1.0,0.0,0.0,2020-05-27,2020.0,5.0,West
Alaska,AK,,0.0,0.0,0.0,222.0,0.0,0.0,0.0,2020-06-23,2020.0,6.0,West
Alaska,AK,,4.0,0.0,0.0,1623.0,15.0,0.0,0.0,2020-07-28,2020.0,7.0,West
Alaska,AK,,16.0,0.0,0.0,1737.0,22.0,0.0,0.0,2020-08-26,2020.0,8.0,West
Alaska,AK,,1.0,0.0,0.0,1659.0,26.0,0.0,0.0,2020-09-29,2020.0,9.0,West
Alaska,AK,,20.0,0.0,0.0,1782.0,121.0,0.0,0.0,2020-10-27,2020.0,10.0,West
Alaska,AK,,59.0,0.0,0.0,3201.0,458.0,0.0,1.0,2020-11-24,2020.0,11.0,West
Alaska,AK,,105.0,0.0,0.0,5272.0,1322.0,0.0,4.0,2020-12-28,2020.0,12.0,West
Alaska,AK,,52.0,0.0,0.0,3862.0,328.0,0.0,0.0,2021-01-25,2021.0,1.0,West
Arizona,AZ,,0.0,0.0,0.0,195.0,50.0,0.0,2.0,2020-04-29,2020.0,4.0,West
Arizona,AZ,,23.0,0.0,0.0,861.0,133.0,0.0,5.0,2020-05-27,2020.0,5.0,West
Arizona,AZ,,151.0,90.0,1.0,2361.0,238.0,166.0,2.0,2020-06-30,2020.0,6.0,West
Arizona,AZ,,294.0,292.0,0.0,1795.0,403.0,179.0,7.0,2020-07-28,2020.0,7.0,West
Arizona,AZ,,153.0,197.0,0.0,18929.0,1056.0,479.0,10.0,2020-08-25,2020.0,8.0,West
Arizona,AZ,,28.0,53.0,0.0,15880.0,706.0,1649.0,2.0,2020-09-29,2020.0,9.0,West
Arizona,AZ,,57.0,25.0,0.0,901.0,50.0,68.0,0.0,2020-10-27,2020.0,10.0,West
Arizona,AZ,,238.0,108.0,0.0,933.0,318.0,34.0,0.0,2020-11-24,2020.0,11.0,West
Arizona,AZ,,773.0,617.0,0.0,879.0,3461.0,2096.0,6.0,2020-12-29,2020.0,12.0,West
Arizona,AZ,,660.0,470.0,0.0,698.0,3132.0,2840.0,13.0,2021-01-26,2021.0,1.0,West
Arkansas,AR,647.0,95.0,0.0,0.0,1855.0,923.0,0.0,0.0,2020-04-28,2020.0,4.0,South
Arkansas,AR,161.0,40.0,0.0,1.0,858.0,328.0,0.0,8.0,2020-05-27,2020.0,5.0,South
Arkansas,AR,1395.0,83.0,83.0,0.0,4324.0,1236.0,976.0,5.0,2020-06-30,2020.0,6.0,South
Arkansas,AR,675.0,91.0,37.0,0.0,1726.0,1364.0,1121.0,14.0,2020-07-28,2020.0,7.0,South
Arkansas,AR,2189.0,87.0,153.0,0.0,7380.0,1343.0,1668.0,11.0,2020-08-25,2020.0,8.0,South
Arkansas,AR,47.0,384.0,7.0,1.0,1257.0,1228.0,1166.0,4.0,2020-09-29,2020.0,9.0,South
