name,state,staff_tests,total_staff_cases,staff_recovered,total_staff_deaths,prisoner_tests,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,as_of_date,year,month,region,civ_death,civ_cases,civ_hosp,civ_tests,Design capacity 2000/a,Design capacity 2005/a,Percent of design capacity occupied 2000,Percent of design capacity occupied 2005,Rated capacity 2000,Rated capacity 2005,Percent of rated capacity occupied 2000,Percent of rated capacity occupied 2005,Total_18,Male_18,Female_18,Total_19,Male_19,Female_19,Total number of facilities,Facilities operating one or more work programs,Inmates participating in one or more work programs,Prison industries,Support services,Farming ,Public works,Other work programs ,No work programs,phone_rate_avg,Latitude,Longitude
Alabama,AL,0.0,11.0,0.0,0.0,61.0,4.0,0.0,1.0,2020-04-28,2020.0,4.0,South,256,6038,978,0,17693.0,12918.0,127.0,179.0,22158.0,22158.0,101.0,0.0,26841.0,24439.0,2402.0,28304.0,25555.0,2749.0,33.0,24.0,28.0,7.0,10.0,6.0,9.0,5.0,7.0,4.5,32.75,-86.75
Alabama,AL,0.0,42.0,0.0,0.0,74.0,7.0,0.0,0.0,2020-05-26,2020.0,5.0,South,362,10884,866,0,17693.0,12918.0,127.0,179.0,22158.0,22158.0,101.0,0.0,26841.0,24439.0,2402.0,28304.0,25555.0,2749.0,33.0,24.0,28.0,7.0,10.0,6.0,9.0,5.0,7.0,4.5,32.75,-86.75
Alabama,AL,0.0,111.0,74.0,1.0,177.0,57.0,10.0,6.0,2020-06-30,2020.0,6.0,South,319,20142,925,0,17693.0,12918.0,127.0,179.0,22158.0,22158.0,101.0,0.0,26841.0,24439.0,2402.0,28304.0,25555.0,2749.0,33.0,24.0,28.0,7.0,10.0,6.0,9.0,5.0,7.0,4.5,32.75,-86.75
Alabama,AL,0.0,125.0,82.0,1.0,407.0,131.0,96.0,8.0,2020-07-28,2020.0,7.0,South,630,49678,7752,0,17693.0,12918.0,127.0,179.0,22158.0,22158.0,101.0,0.0,26841.0,24439.0,2402.0,28304.0,25555.0,2749.0,33.0,24.0,28.0,7.0,10.0,6.0,9.0,5.0,7.0,4.5,32.75,-86.75
Alabama,AL,0.0,62.0,110.0,0.0,990.0,137.0,190.0,4.0,2020-08-25,2020.0,8.0,South,602,38335,3746,0,17693.0,12918.0,127.0,179.0,22158.0,22158.0,101.0,0.0,26841.0,24439.0,2402.0,28304.0,25555.0,2749.0,33.0,24.0,28.0,7.0,10.0,6.0,9.0,5.0,7.0,4.5,32.75,-86.75
Alabama,AL,0.0,45.0,87.0,0.0,353.0,79.0,73.0,4.0,2020-09-28,2020.0,9.0,South,358,28643,2990,0,17693.0,12918.0,127.0,179.0,22158.0,22158.0,101.0,0.0,26841.0,24439.0,2402.0,28304.0,25555.0,2749.0,33.0,24.0,28.0,7.0,10.0,6.0,9.0,5.0,7.0,4.5,32.75,-86.75
Alabama,AL,0.0,57.0,25.0,0.0,3260.0,117.0,39.0,4.0,2020-10-26,2020.0,10.0,South,427,37584,3193,0,17693.0,12918.0,127.0,179.0,22158.0,22158.0,101.0,0.0,26841.0,24439.0,2402.0,28304.0,25555.0,2749.0,33.0,24.0,28.0,7.0,10.0,6.0,9.0,5.0,7.0,4.5,32.75,-86.75
Alabama,AL,0.0,212.0,51.0,0.0,1693.0,323.0,319.0,7.0,2020-11-30,2020.0,11.0,South,611,57239,4888,0,17693.0,12918.0,127.0,179.0,22158.0,22158.0,101.0,0.0,26841.0,24439.0,2402.0,28304.0,25555.0,2749.0,33.0,24.0,28.0,7.0,10.0,6.0,9.0,5.0,7.0,4.5,32.75,-86.75
Alabama,AL,0.0,137.0,90.0,0.0,5639.0,306.0,268.0,20.0,2020-12-28,2020.0,12.0,South,1249,111702,8846,0,17693.0,12918.0,127.0,179.0,22158.0,22158.0,101.0,0.0,26841.0,24439.0,2402.0,28304.0,25555.0,2749.0,33.0,24.0,28.0,7.0,10.0,6.0,9.0,5.0,7.0,4.5,32.75,-86.75
Alabama,AL,0.0,147.0,271.0,1.0,2023.0,208.0,195.0,6.0,2021-01-25,2021.0,1.0,South,2861,98413,7675,0,17693.0,12918.0,127.0,179.0,22158.0,22158.0,101.0,0.0,26841.0,24439.0,2402.0,28304.0,25555.0,2749.0,33.0,24.0,28.0,7.0,10.0,6.0,9.0,5.0,7.0,4.5,32.75,-86.75
